pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
folk_05::distortion::drv32,folk_05,folk,T,distortion,32.0,0.991879,0.492514,0.977080,0.323853
folk_06::pitch_shift::-4st,folk_06,folk,H,pitch_shift,-4.0,0.477208,0.405352,0.985892,0.289073
folk_06::time_stretch::-5pct,folk_06,folk,R,time_stretch,-5.0,0.997731,0.929437,0.867629,0.523389
folk_06::distortion::drv12,folk_06,folk,T,distortion,12.0,0.988309,0.447689,0.962217,0.325166
folk_07::pitch_shift::+4st,folk_07,folk,H,pitch_shift,4.0,0.810400,0.583263,0.992704,0.394605
folk_07::time_stretch::+10pct,folk_07,folk,R,time_stretch,10.0,0.997475,0.926249,0.895941,0.497624
folk_07::lowpass::lp8000,folk_07,folk,T,lowpass,8000.0,0.999923,0.434923,0.999002,0.629827
folk_08::pitch_shift::-4st,folk_08,folk,H,pitch_shift,-4.0,0.820058,0.576210,0.982354,0.591836
folk_08::time_stretch::+20pct,folk_08,folk,R,time_stretch,20.0,0.995535,0.877720,0.651707,0.599108
folk_08::distortion::drv12,folk_08,folk,T,distortion,12.0,0.995694,0.576370,0.934029,0.454002
folk_09::time_stretch::-10pct,folk_09,folk,R,time_stretch,-10.0,0.997143,0.903518,0.756639,0.446836
folk_09::time_stretch::+20pct,folk_09,folk,R,time_stretch,20.0,0.994003,0.867867,0.753252,0.440001
folk_09::lowpass::lp8000,folk_09,folk,T,lowpass,8000.0,0.999124,0.468288,0.997113,0.454399
folk_10::pitch_shift::+1st,folk_10,folk,H,pitch_shift,1.0,0.965698,0.864911,0.995334,0.477758
folk_10::lowpass::lp4000,folk_10,folk,T,lowpass,4000.0,0.998985,0.484099,0.969395,0.485041
folk_11::control::ctrl,folk_11,folk,control,control,0.0,1.000000,1.000000,1.000000,0.477750
folk_11::time_stretch::-10pct,folk_11,folk,R,time_stretch,-10.0,0.990601,0.888742,0.887925,0.462203
folk_11::time_stretch::+5pct,folk_11,folk,R,time_stretch,5.0,0.993987,0.892803,0.911550,0.485859
folk_12::pitch_shift::+4st,folk_12,folk,H,pitch_shift,4.0,0.397902,0.548767,0.991913,0.368963
folk_12::time_stretch::-20pct,folk_12,folk,R,time_stretch,-20.0,0.915478,0.725314,0.975848,0.432439
folk_12::lowpass::lp2000,folk_12,folk,T,lowpass,2000.0,0.999930,0.709958,0.999308,0.375289
folk_13::pitch_shift::-1st,folk_13,folk,H,pitch_shift,-1.0,0.592876,0.694521,0.972710,0.492430
folk_13::time_stretch::-20pct,folk_13,folk,R,time_stretch,-20.0,0.999018,0.752715,0.956087,0.485554
folk_13::distortion::drv4,folk_13,folk,T,distortion,4.0,0.999204,0.741861,0.981443,0.463057
folk_14::pitch_shift::+1st,folk_14,folk,H,pitch_shift,1.0,0.611960,0.830936,0.996428,0.469422
folk_14::distortion::drv32,folk_14,folk,T,distortion,32.0,0.986576,0.506475,0.910489,0.223433
