pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R
folk_05::displacement::disp_far,folk_05,folk,S,displacement,7.5,0.976368,0.478147,0.834982
folk_06::control::ctrl,folk_06,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_06::shuffle::shuf_beat,folk_06,folk,S,shuffle,nan,0.998489,0.912740,0.903984
folk_06::shuffle::shuf_bar,folk_06,folk,S,shuffle,nan,0.999985,0.985065,0.913876
folk_06::reverse::rev,folk_06,folk,S,reverse,nan,0.999998,0.999973,0.876134
folk_06::displacement::disp_near,folk_06,folk,S,displacement,2.0,0.975276,0.565298,0.887814
folk_06::displacement::disp_far,folk_06,folk,S,displacement,7.5,0.949041,0.630135,0.897665
folk_07::control::ctrl,folk_07,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_07::shuffle::shuf_beat,folk_07,folk,S,shuffle,nan,0.999472,0.921178,0.929505
folk_07::shuffle::shuf_bar,folk_07,folk,S,shuffle,nan,0.999796,0.978323,0.909826
folk_07::reverse::rev,folk_07,folk,S,reverse,nan,1.000000,0.999961,0.835747
folk_07::displacement::disp_near,folk_07,folk,S,displacement,2.0,0.916839,0.603354,0.911483
folk_07::displacement::disp_far,folk_07,folk,S,displacement,7.5,0.928804,0.516395,0.835747
folk_08::control::ctrl,folk_08,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_08::shuffle::shuf_beat,folk_08,folk,S,shuffle,nan,0.999270,0.887154,0.741390
folk_08::shuffle::shuf_bar,folk_08,folk,S,shuffle,nan,0.999938,0.960291,0.799447
folk_08::reverse::rev,folk_08,folk,S,reverse,nan,1.000000,0.999968,0.813006
folk_08::displacement::disp_near,folk_08,folk,S,displacement,2.0,0.985591,0.739550,0.789614
folk_08::displacement::disp_far,folk_08,folk,S,displacement,7.5,0.966325,0.584074,0.789614
folk_09::control::ctrl,folk_09,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_09::shuffle::shuf_beat,folk_09,folk,S,shuffle,nan,0.997753,0.877368,0.814924
folk_09::shuffle::shuf_bar,folk_09,folk,S,shuffle,nan,0.999764,0.957421,0.842510
folk_09::reverse::rev,folk_09,folk,S,reverse,nan,0.999605,0.999964,0.814095
folk_09::displacement::disp_near,folk_09,folk,S,displacement,2.0,0.998485,0.764718,0.814095
folk_09::displacement::disp_far,folk_09,folk,S,displacement,7.5,0.996906,0.757144,0.814095
folk_10::control::ctrl,folk_10,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_10::shuffle::shuf_beat,folk_10,folk,S,shuffle,nan,0.999295,0.874573,0.826029
folk_10::shuffle::shuf_bar,folk_10,folk,S,shuffle,nan,0.999259,0.945822,0.837107
folk_10::reverse::rev,folk_10,folk,S,reverse,nan,0.999985,0.999943,0.648688
folk_10::displacement::disp_near,folk_10,folk,S,displacement,2.0,0.998587,0.793269,0.826436
folk_10::displacement::disp_far,folk_10,folk,S,displacement,7.5,0.996734,0.752342,0.826436
folk_11::control::ctrl,folk_11,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_11::shuffle::shuf_beat,folk_11,folk,S,shuffle,nan,0.998315,0.930306,0.940126
folk_11::shuffle::shuf_bar,folk_11,folk,S,shuffle,nan,0.999897,0.987313,0.935241
folk_11::reverse::rev,folk_11,folk,S,reverse,nan,1.000000,0.999911,0.909087
folk_11::displacement::disp_near,folk_11,folk,S,displacement,2.0,0.981170,0.655640,0.863001
folk_11::displacement::disp_far,folk_11,folk,S,displacement,7.5,0.968970,0.637604,0.911680
folk_12::control::ctrl,folk_12,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_12::shuffle::shuf_beat,folk_12,folk,S,shuffle,nan,0.997937,0.943046,0.789611
folk_12::shuffle::shuf_bar,folk_12,folk,S,shuffle,nan,0.999987,0.983440,0.854404
folk_12::reverse::rev,folk_12,folk,S,reverse,nan,0.999998,0.999955,0.820310
folk_12::displacement::disp_near,folk_12,folk,S,displacement,2.0,0.957784,0.563568,0.707843
folk_12::displacement::disp_far,folk_12,folk,S,displacement,7.5,0.935059,0.626203,0.792147
folk_13::control::ctrl,folk_13,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_13::shuffle::shuf_beat,folk_13,folk,S,shuffle,nan,0.996996,0.774624,0.963599
folk_13::shuffle::shuf_bar,folk_13,folk,S,shuffle,nan,0.999439,0.873345,0.972792
folk_13::reverse::rev,folk_13,folk,S,reverse,nan,0.999994,0.999931,0.975763
folk_13::displacement::disp_near,folk_13,folk,S,displacement,2.0,0.986410,0.554126,0.968627
folk_13::displacement::disp_far,folk_13,folk,S,displacement,7.5,0.976721,0.482528,0.961440
folk_14::control::ctrl,folk_14,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_14::shuffle::shuf_beat,folk_14,folk,S,shuffle,nan,0.998951,0.961834,0.954742
folk_14::shuffle::shuf_bar,folk_14,folk,S,shuffle,nan,0.999614,0.989231,0.890607
folk_14::reverse::rev,folk_14,folk,S,reverse,nan,1.000000,0.999968,0.913687
folk_14::displacement::disp_near,folk_14,folk,S,displacement,2.0,0.940828,0.616051,0.910935
folk_14::displacement::disp_far,folk_14,folk,S,displacement,7.5,0.944698,0.656910,0.874988
folk_15::control::ctrl,folk_15,folk,control,control,0.0,1.000000,1.000000,1.000000
folk_15::shuffle::shuf_beat,folk_15,folk,S,shuffle,nan,0.996930,0.966700,0.896110
folk_15::shuffle::shuf_bar,folk_15,folk,S,shuffle,nan,0.998414,0.989309,0.902618
folk_15::reverse::rev,folk_15,folk,S,reverse,nan,0.998953,0.999967,0.896110
folk_15::displacement::disp_near,folk_15,folk,S,displacement,2.0,0.944695,0.632576,0.874977
folk_15::displacement::disp_far,folk_15,folk,S,displacement,7.5,0.944973,0.626684,0.896110
jazz_01::control::ctrl,jazz_01,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_01::shuffle::shuf_beat,jazz_01,jazz,S,shuffle,nan,0.999075,0.905155,0.807358
jazz_01::shuffle::shuf_bar,jazz_01,jazz,S,shuffle,nan,0.999799,0.966814,0.795613
jazz_01::reverse::rev,jazz_01,jazz,S,reverse,nan,0.999382,0.999950,0.555203
jazz_01::displacement::disp_near,jazz_01,jazz,S,displacement,2.0,0.976137,0.838624,0.830673
jazz_01::displacement::disp_far,jazz_01,jazz,S,displacement,7.5,0.996824,0.864725,0.843829
jazz_02::control::ctrl,jazz_02,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_02::shuffle::shuf_beat,jazz_02,jazz,S,shuffle,nan,0.999454,0.914653,0.741124
jazz_02::shuffle::shuf_bar,jazz_02,jazz,S,shuffle,nan,0.999594,0.967987,0.803654
jazz_02::reverse::rev,jazz_02,jazz,S,reverse,nan,0.999553,0.999920,0.800433
jazz_02::displacement::disp_near,jazz_02,jazz,S,displacement,2.0,0.998278,0.702126,0.799779
jazz_02::displacement::disp_far,jazz_02,jazz,S,displacement,7.5,0.998181,0.669081,0.857748
jazz_03::control::ctrl,jazz_03,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_03::shuffle::shuf_beat,jazz_03,jazz,S,shuffle,nan,0.999447,0.914177,0.792152
jazz_03::shuffle::shuf_bar,jazz_03,jazz,S,shuffle,nan,0.999858,0.970803,0.834100
jazz_03::reverse::rev,jazz_03,jazz,S,reverse,nan,1.000000,0.999956,0.827285
jazz_03::displacement::disp_near,jazz_03,jazz,S,displacement,2.0,0.995183,0.732043,0.827285
jazz_03::displacement::disp_far,jazz_03,jazz,S,displacement,7.5,0.985205,0.757381,0.827285
jazz_04::control::ctrl,jazz_04,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_04::shuffle::shuf_beat,jazz_04,jazz,S,shuffle,nan,0.993509,0.932676,0.693180
jazz_04::shuffle::shuf_bar,jazz_04,jazz,S,shuffle,nan,0.998919,0.978206,0.796399
jazz_04::reverse::rev,jazz_04,jazz,S,reverse,nan,0.999950,0.999956,0.772071
jazz_04::displacement::disp_near,jazz_04,jazz,S,displacement,2.0,0.936288,0.607658,0.772071
jazz_04::displacement::disp_far,jazz_04,jazz,S,displacement,7.5,0.888429,0.467684,0.473097
jazz_05::control::ctrl,jazz_05,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_05::shuffle::shuf_beat,jazz_05,jazz,S,shuffle,nan,0.999660,0.970083,0.884489
jazz_05::shuffle::shuf_bar,jazz_05,jazz,S,shuffle,nan,0.999947,0.982690,0.884489
jazz_05::reverse::rev,jazz_05,jazz,S,reverse,nan,1.000000,0.999971,0.891677
jazz_05::displacement::disp_near,jazz_05,jazz,S,displacement,2.0,0.773261,0.443737,0.790221
jazz_05::displacement::disp_far,jazz_05,jazz,S,displacement,7.5,0.871341,0.508717,0.837938
jazz_06::control::ctrl,jazz_06,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_06::shuffle::shuf_beat,jazz_06,jazz,S,shuffle,nan,0.998990,0.951812,0.710447
jazz_06::shuffle::shuf_bar,jazz_06,jazz,S,shuffle,nan,0.999886,0.983387,0.710447
jazz_06::reverse::rev,jazz_06,jazz,S,reverse,nan,0.999996,0.999951,0.793144
jazz_06::displacement::disp_near,jazz_06,jazz,S,displacement,2.0,0.996415,0.752204,0.791605
jazz_06::displacement::disp_far,jazz_06,jazz,S,displacement,7.5,0.954825,0.630413,0.759527
jazz_07::control::ctrl,jazz_07,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_07::shuffle::shuf_beat,jazz_07,jazz,S,shuffle,nan,0.999817,0.907675,0.872223
jazz_07::shuffle::shuf_bar,jazz_07,jazz,S,shuffle,nan,0.999948,0.972822,0.707134
jazz_07::reverse::rev,jazz_07,jazz,S,reverse,nan,1.000000,0.999971,0.842302
jazz_07::displacement::disp_near,jazz_07,jazz,S,displacement,2.0,0.995657,0.660203,0.701735
jazz_07::displacement::disp_far,jazz_07,jazz,S,displacement,7.5,0.992287,0.591221,0.701735
jazz_08::control::ctrl,jazz_08,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_08::shuffle::shuf_beat,jazz_08,jazz,S,shuffle,nan,0.999384,0.938920,0.869761
jazz_08::shuffle::shuf_bar,jazz_08,jazz,S,shuffle,nan,0.999745,0.983304,0.842595
jazz_08::reverse::rev,jazz_08,jazz,S,reverse,nan,0.999999,0.999970,0.705379
jazz_08::displacement::disp_near,jazz_08,jazz,S,displacement,2.0,0.938450,0.574089,0.822965
jazz_08::displacement::disp_far,jazz_08,jazz,S,displacement,7.5,0.876697,0.614643,0.842595
jazz_09::control::ctrl,jazz_09,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_09::shuffle::shuf_beat,jazz_09,jazz,S,shuffle,nan,0.999827,0.870882,0.949890
jazz_09::shuffle::shuf_bar,jazz_09,jazz,S,shuffle,nan,0.999790,0.949782,0.963220
jazz_09::reverse::rev,jazz_09,jazz,S,reverse,nan,0.999814,0.999917,0.966211
jazz_09::displacement::disp_near,jazz_09,jazz,S,displacement,2.0,0.996119,0.778763,0.955728
jazz_09::displacement::disp_far,jazz_09,jazz,S,displacement,7.5,0.986684,0.717654,0.940650
jazz_10::control::ctrl,jazz_10,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_10::shuffle::shuf_beat,jazz_10,jazz,S,shuffle,nan,0.999660,0.944419,0.781429
jazz_10::shuffle::shuf_bar,jazz_10,jazz,S,shuffle,nan,0.999949,0.986687,0.812674
jazz_10::reverse::rev,jazz_10,jazz,S,reverse,nan,1.000000,0.999915,0.581918
jazz_10::displacement::disp_near,jazz_10,jazz,S,displacement,2.0,0.997106,0.801537,0.796947
jazz_10::displacement::disp_far,jazz_10,jazz,S,displacement,7.5,0.987830,0.715342,0.779930
jazz_11::control::ctrl,jazz_11,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_11::shuffle::shuf_beat,jazz_11,jazz,S,shuffle,nan,0.999566,0.889228,0.756951
jazz_11::shuffle::shuf_bar,jazz_11,jazz,S,shuffle,nan,0.999946,0.962199,0.800767
jazz_11::reverse::rev,jazz_11,jazz,S,reverse,nan,0.999992,0.999961,0.859743
jazz_11::displacement::disp_near,jazz_11,jazz,S,displacement,2.0,0.988998,0.699963,0.757822
jazz_11::displacement::disp_far,jazz_11,jazz,S,displacement,7.5,0.976549,0.648632,0.719757
jazz_12::control::ctrl,jazz_12,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_12::shuffle::shuf_beat,jazz_12,jazz,S,shuffle,nan,0.998670,0.880871,0.668908
jazz_12::shuffle::shuf_bar,jazz_12,jazz,S,shuffle,nan,0.999826,0.956090,0.668908
jazz_12::reverse::rev,jazz_12,jazz,S,reverse,nan,1.000000,0.999920,0.739093
jazz_12::displacement::disp_near,jazz_12,jazz,S,displacement,2.0,0.980453,0.488544,0.739093
jazz_12::displacement::disp_far,jazz_12,jazz,S,displacement,7.5,0.968537,0.532162,0.739093
jazz_13::control::ctrl,jazz_13,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_13::shuffle::shuf_beat,jazz_13,jazz,S,shuffle,nan,0.999741,0.910425,0.713306
jazz_13::shuffle::shuf_bar,jazz_13,jazz,S,shuffle,nan,0.999928,0.967008,0.760301
jazz_13::reverse::rev,jazz_13,jazz,S,reverse,nan,1.000000,0.999967,0.826313
jazz_13::displacement::disp_near,jazz_13,jazz,S,displacement,2.0,0.983145,0.665651,0.795906
jazz_13::displacement::disp_far,jazz_13,jazz,S,displacement,7.5,0.992318,0.675291,0.760301
jazz_14::control::ctrl,jazz_14,jazz,control,control,0.0,1.000000,0.999890,1.000000
jazz_14::shuffle::shuf_beat,jazz_14,jazz,S,shuffle,nan,0.999544,0.958814,0.926411
jazz_14::shuffle::shuf_bar,jazz_14,jazz,S,shuffle,nan,0.999688,0.986498,0.955539
jazz_14::reverse::rev,jazz_14,jazz,S,reverse,nan,0.999917,0.999870,0.885682
jazz_14::displacement::disp_near,jazz_14,jazz,S,displacement,2.0,0.976588,0.618672,0.917317
jazz_14::displacement::disp_far,jazz_14,jazz,S,displacement,7.5,0.992860,0.585929,0.919538
jazz_15::control::ctrl,jazz_15,jazz,control,control,0.0,1.000000,1.000000,1.000000
jazz_15::shuffle::shuf_beat,jazz_15,jazz,S,shuffle,nan,0.999771,0.955035,0.826989
jazz_15::shuffle::shuf_bar,jazz_15,jazz,S,shuffle,nan,0.999994,0.980210,0.809890
jazz_15::reverse::rev,jazz_15,jazz,S,reverse,nan,1.000000,0.999916,0.813985
jazz_15::displacement::disp_near,jazz_15,jazz,S,displacement,2.0,0.912596,0.634926,0.787525
jazz_15::displacement::disp_far,jazz_15,jazz,S,displacement,7.5,0.959956,0.702396,0.795697
rock_01::control::ctrl,rock_01,rock,control,control,0.0,1.000000,0.999950,1.000000
rock_01::shuffle::shuf_beat,rock_01,rock,S,shuffle,nan,0.999337,0.873428,0.765644
rock_01::shuffle::shuf_bar,rock_01,rock,S,shuffle,nan,0.999513,0.938572,0.845307
rock_01::reverse::rev,rock_01,rock,S,reverse,nan,1.000000,0.999939,0.802910
rock_01::displacement::disp_near,rock_01,rock,S,displacement,2.0,0.961677,0.705101,0.829684
rock_01::displacement::disp_far,rock_01,rock,S,displacement,7.5,0.984846,0.620440,0.829684
rock_02::control::ctrl,rock_02,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_02::shuffle::shuf_beat,rock_02,rock,S,shuffle,nan,0.999423,0.852821,0.808475
rock_02::shuffle::shuf_bar,rock_02,rock,S,shuffle,nan,0.999616,0.928832,0.852375
rock_02::reverse::rev,rock_02,rock,S,reverse,nan,1.000000,0.999877,0.818350
rock_02::displacement::disp_near,rock_02,rock,S,displacement,2.0,0.981044,0.713163,0.539336
rock_02::displacement::disp_far,rock_02,rock,S,displacement,7.5,0.950018,0.601612,0.539336
rock_03::control::ctrl,rock_03,rock,control,control,0.0,0.999960,0.937734,0.999882
rock_03::shuffle::shuf_beat,rock_03,rock,S,shuffle,nan,0.999582,0.869224,0.764405
rock_03::shuffle::shuf_bar,rock_03,rock,S,shuffle,nan,0.999789,0.932821,0.536949
rock_03::reverse::rev,rock_03,rock,S,reverse,nan,0.998365,0.937599,0.532454
rock_03::displacement::disp_near,rock_03,rock,S,displacement,2.0,0.999038,0.640028,0.803885
rock_03::displacement::disp_far,rock_03,rock,S,displacement,7.5,0.998601,0.601170,0.764405
rock_04::control::ctrl,rock_04,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_04::shuffle::shuf_beat,rock_04,rock,S,shuffle,nan,0.999865,0.809426,0.547275
rock_04::shuffle::shuf_bar,rock_04,rock,S,shuffle,nan,0.999966,0.905052,0.809405
rock_04::reverse::rev,rock_04,rock,S,reverse,nan,0.999996,0.999902,0.611512
rock_04::displacement::disp_near,rock_04,rock,S,displacement,2.0,0.986578,0.804001,0.820309
rock_04::displacement::disp_far,rock_04,rock,S,displacement,7.5,0.981098,0.788996,0.758134
rock_05::control::ctrl,rock_05,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_05::shuffle::shuf_beat,rock_05,rock,S,shuffle,nan,0.998489,0.884761,0.825142
rock_05::shuffle::shuf_bar,rock_05,rock,S,shuffle,nan,0.999280,0.958427,0.822070
rock_05::reverse::rev,rock_05,rock,S,reverse,nan,0.999967,0.999964,0.805226
rock_05::displacement::disp_near,rock_05,rock,S,displacement,2.0,0.995351,0.717336,0.805226
rock_05::displacement::disp_far,rock_05,rock,S,displacement,7.5,0.991978,0.661905,0.805226
rock_06::control::ctrl,rock_06,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_06::shuffle::shuf_beat,rock_06,rock,S,shuffle,nan,0.999566,0.820606,0.767883
rock_06::shuffle::shuf_bar,rock_06,rock,S,shuffle,nan,0.999931,0.915896,0.773781
rock_06::reverse::rev,rock_06,rock,S,reverse,nan,1.000000,0.999840,0.803637
rock_06::displacement::disp_near,rock_06,rock,S,displacement,2.0,0.989375,0.803998,0.803637
rock_06::displacement::disp_far,rock_06,rock,S,displacement,7.5,0.994734,0.784731,0.756640
rock_07::control::ctrl,rock_07,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_07::shuffle::shuf_beat,rock_07,rock,S,shuffle,nan,0.994916,0.901350,0.823136
rock_07::shuffle::shuf_bar,rock_07,rock,S,shuffle,nan,0.999574,0.958138,0.868300
rock_07::reverse::rev,rock_07,rock,S,reverse,nan,1.000000,0.999691,0.848655
rock_07::displacement::disp_near,rock_07,rock,S,displacement,2.0,0.949733,0.508468,0.848655
rock_07::displacement::disp_far,rock_07,rock,S,displacement,7.5,0.905440,0.462265,0.849519
rock_08::control::ctrl,rock_08,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_08::shuffle::shuf_beat,rock_08,rock,S,shuffle,nan,0.998550,0.788481,0.875146
rock_08::shuffle::shuf_bar,rock_08,rock,S,shuffle,nan,0.999917,0.891220,0.861323
rock_08::reverse::rev,rock_08,rock,S,reverse,nan,0.998435,0.999954,0.866350
rock_08::displacement::disp_near,rock_08,rock,S,displacement,2.0,0.966702,0.750649,0.834621
rock_08::displacement::disp_far,rock_08,rock,S,displacement,7.5,0.967725,0.709863,0.878473
rock_09::control::ctrl,rock_09,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_09::shuffle::shuf_beat,rock_09,rock,S,shuffle,nan,0.998495,0.859129,0.908243
rock_09::shuffle::shuf_bar,rock_09,rock,S,shuffle,nan,0.998804,0.933264,0.925331
rock_09::reverse::rev,rock_09,rock,S,reverse,nan,0.998803,0.999910,0.912685
rock_09::displacement::disp_near,rock_09,rock,S,displacement,2.0,0.994095,0.692943,0.914146
rock_09::displacement::disp_far,rock_09,rock,S,displacement,7.5,0.995123,0.718526,0.881832
rock_10::control::ctrl,rock_10,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_10::shuffle::shuf_beat,rock_10,rock,S,shuffle,nan,0.999716,0.924416,0.860844
rock_10::shuffle::shuf_bar,rock_10,rock,S,shuffle,nan,0.999806,0.972193,0.876297
rock_10::reverse::rev,rock_10,rock,S,reverse,nan,0.999998,0.999958,0.704772
rock_10::displacement::disp_near,rock_10,rock,S,displacement,2.0,0.981800,0.756208,0.686812
rock_10::displacement::disp_far,rock_10,rock,S,displacement,7.5,0.974246,0.654665,0.682516
rock_11::control::ctrl,rock_11,rock,control,control,0.0,1.000000,0.996864,0.999989
rock_11::shuffle::shuf_beat,rock_11,rock,S,shuffle,nan,0.999454,0.880956,0.567008
rock_11::shuffle::shuf_bar,rock_11,rock,S,shuffle,nan,0.997074,0.955150,0.612950
rock_11::reverse::rev,rock_11,rock,S,reverse,nan,0.999971,0.996890,0.795019
rock_11::displacement::disp_near,rock_11,rock,S,displacement,2.0,0.985803,0.769299,0.783593
rock_11::displacement::disp_far,rock_11,rock,S,displacement,7.5,0.985929,0.581983,0.738981
rock_12::control::ctrl,rock_12,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_12::shuffle::shuf_beat,rock_12,rock,S,shuffle,nan,0.999384,0.877240,0.829811
rock_12::shuffle::shuf_bar,rock_12,rock,S,shuffle,nan,0.999973,0.951920,0.841268
rock_12::reverse::rev,rock_12,rock,S,reverse,nan,0.999952,0.999920,0.840752
rock_12::displacement::disp_near,rock_12,rock,S,displacement,2.0,0.978549,0.682228,0.900643
rock_12::displacement::disp_far,rock_12,rock,S,displacement,7.5,0.954696,0.532954,0.814785
rock_13::control::ctrl,rock_13,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_13::shuffle::shuf_beat,rock_13,rock,S,shuffle,nan,0.999349,0.898766,0.818403
rock_13::shuffle::shuf_bar,rock_13,rock,S,shuffle,nan,0.999942,0.963367,0.872063
rock_13::reverse::rev,rock_13,rock,S,reverse,nan,1.000000,0.999912,0.887149
rock_13::displacement::disp_near,rock_13,rock,S,displacement,2.0,0.998359,0.697537,0.856362
rock_13::displacement::disp_far,rock_13,rock,S,displacement,7.5,0.991845,0.659257,0.847968
rock_14::control::ctrl,rock_14,rock,control,control,0.0,1.000000,0.991346,0.999852
rock_14::shuffle::shuf_beat,rock_14,rock,S,shuffle,nan,0.999863,0.805534,0.888650
rock_14::shuffle::shuf_bar,rock_14,rock,S,shuffle,nan,0.999629,0.908197,0.914216
rock_14::reverse::rev,rock_14,rock,S,reverse,nan,1.000000,0.991369,0.847960
rock_14::displacement::disp_near,rock_14,rock,S,displacement,2.0,0.942216,0.530411,0.911291
rock_14::displacement::disp_far,rock_14,rock,S,displacement,7.5,0.979871,0.423063,0.910048
rock_15::control::ctrl,rock_15,rock,control,control,0.0,1.000000,1.000000,1.000000
rock_15::shuffle::shuf_beat,rock_15,rock,S,shuffle,nan,0.999094,0.827212,0.748833
rock_15::shuffle::shuf_bar,rock_15,rock,S,shuffle,nan,0.999758,0.914852,0.876161
rock_15::reverse::rev,rock_15,rock,S,reverse,nan,1.000000,0.999966,0.848927
rock_15::displacement::disp_near,rock_15,rock,S,displacement,2.0,0.983131,0.784522,0.852288
rock_15::displacement::disp_far,rock_15,rock,S,displacement,7.5,0.988092,0.764004,0.729963
