loop_index,stimulus_id
2,stim_0175
3,stim_0046
4,stim_0076
5,stim_0184
6,stim_0139
7,stim_0098
9,stim_0086
10,stim_0061
11,stim_0044
12,stim_0140
13,stim_0065
14,stim_0063
15,stim_0083
17,stim_0183
18,stim_0124
19,stim_0097
20,stim_0092
21,stim_0058
23,stim_0125
24,stim_0081
25,stim_0115
26,stim_0132
27,stim_0067
28,stim_0113
30,stim_0072
31,stim_0106
32,stim_0062
33,stim_0182
34,stim_0074
35,stim_0087
36,stim_0185
37,stim_0049
38,stim_0028
39,stim_0179
40,stim_0068
41,stim_0107
42,stim_0178
43,stim_0007
44,stim_0060
45,stim_0048
46,stim_0006
47,stim_0130
48,stim_0121
