loop_index,stimulus_id
1,stim_0142
2,stim_0092
3,stim_0090
4,stim_0028
5,stim_0123
7,stim_0140
8,stim_0133
9,stim_0134
11,stim_0183
12,stim_0106
13,stim_0045
14,stim_0100
15,stim_0065
16,stim_0132
17,stim_0186
18,stim_0189
19,stim_0187
20,stim_0048
21,stim_0190
22,stim_0114
23,stim_0060
24,stim_0034
25,stim_0104
26,stim_0118
27,stim_0052
28,stim_0136
29,stim_0047
30,stim_0109
31,stim_0082
33,stim_0056
34,stim_0069
35,stim_0007
36,stim_0103
37,stim_0023
38,stim_0019
39,stim_0061
42,stim_0020
43,stim_0029
44,stim_0088
45,stim_0101
46,stim_0012
47,stim_0179
48,stim_0139
49,stim_0044
