loop_index,stimulus_id
1,stim_0138
2,stim_0057
3,stim_0132
4,stim_0102
5,stim_0037
6,stim_0007
7,stim_0111
8,stim_0183
10,stim_0044
12,stim_0061
13,stim_0112
14,stim_0014
15,stim_0060
16,stim_0106
17,stim_0048
19,stim_0179
20,stim_0079
21,stim_0065
22,stim_0018
23,stim_0035
24,stim_0078
26,stim_0041
27,stim_0177
28,stim_0140
29,stim_0009
30,stim_0092
31,stim_0042
32,stim_0135
33,stim_0073
34,stim_0131
35,stim_0139
36,stim_0021
37,stim_0096
38,stim_0105
39,stim_0080
40,stim_0120
41,stim_0055
43,stim_0091
44,stim_0028
