loop_position,stimulus_id,pair_id,stimulus_set,condition,perturbation,attention_check,C_uniform
1,stim_0138,jazz_11::time_stretch::+20pct,matrix,time_stretch:20,time_stretch,,0.831835
2,stim_0057,classical_06::distortion::drv12,matrix,distortion:12,distortion,,0.758628
3,stim_0132,jazz_07::distortion::drv12,matrix,distortion:12,distortion,,0.772623
4,stim_0102,electronic_14::control::ctrl,matrix,control,control,expect_high,0.938586
5,stim_0037,ambient_14::pitch_shift::-2st,matrix,pitch_shift:-2,pitch_shift,,0.728081
6,stim_0007,ambient_03::style_swap::swap_cross,matrix,style_swap:cross_genre,style_swap,expect_low,0.508636
7,stim_0111,folk_05::lowpass::lp8000,matrix,lowpass:8000,lowpass,,0.924358
8,stim_0183,rock_06::pitch_shift::+1st,matrix,pitch_shift:1,pitch_shift,,0.898999
9,stim_0044,classical_02::distortion::drv4,matrix,distortion:4,distortion,,0.935438
10,stim_0061,classical_07::pitch_shift::+2st,matrix,pitch_shift:2,pitch_shift,,0.674644
11,stim_0112,folk_05::pitch_shift::+1st,matrix,pitch_shift:1,pitch_shift,,0.757448
12,stim_0014,ambient_05::time_stretch::-5pct,matrix,time_stretch:-5,time_stretch,,0.870783
13,stim_0060,classical_07::control::ctrl,matrix,control,control,expect_high,0.923348
14,stim_0106,folk_01::control::ctrl,matrix,control,control,expect_high,0.941725
15,stim_0048,classical_03::lowpass::lp2000,matrix,lowpass:2000,lowpass,,0.951708
16,stim_0179,rock_05::lowpass::lp8000,matrix,lowpass:8000,lowpass,,0.790042
17,stim_0079,classical_14::pitch_shift::+4st,matrix,pitch_shift:4,pitch_shift,,0.746511
18,stim_0065,classical_08::time_stretch::+5pct,matrix,time_stretch:5,time_stretch,,0.90753
19,stim_0018,ambient_07::lowpass::lp4000,matrix,lowpass:4000,lowpass,,0.8429
20,stim_0035,ambient_13::time_stretch::-20pct,matrix,time_stretch:-20,time_stretch,,0.779944
21,stim_0078,classical_14::distortion::drv12,matrix,distortion:12,distortion,,0.754119
22,stim_0041,classical_01::lowpass::lp2000,matrix,lowpass:2000,lowpass,,0.781186
23,stim_0177,rock_04::time_stretch::+5pct,matrix,time_stretch:5,time_stretch,,0.786083
24,stim_0140,jazz_12::time_stretch::-20pct,matrix,time_stretch:-20,time_stretch,,0.724187
25,stim_0009,ambient_04::distortion::drv32,matrix,distortion:32,distortion,,0.731754
26,stim_0092,electronic_07::lowpass::lp2000,matrix,lowpass:2000,lowpass,,0.686249
27,stim_0042,classical_01::pitch_shift::-1st,matrix,pitch_shift:-1,pitch_shift,,0.848875
28,stim_0135,jazz_10::distortion::drv32,matrix,distortion:32,distortion,,0.797968
29,stim_0073,classical_11::pitch_shift::-2st,matrix,pitch_shift:-2,pitch_shift,,0.757003
30,stim_0131,jazz_06::pitch_shift::-4st,matrix,pitch_shift:-4,pitch_shift,,0.783543
31,stim_0139,jazz_12::control::ctrl,matrix,control,control,expect_high,0.962648
32,stim_0021,ambient_08::pitch_shift::+1st,matrix,pitch_shift:1,pitch_shift,,0.702894
33,stim_0096,electronic_10::pitch_shift::+2st,matrix,pitch_shift:2,pitch_shift,,0.857482
34,stim_0105,electronic_15::time_stretch::-5pct,matrix,time_stretch:-5,time_stretch,,0.869271
35,stim_0080,classical_14::time_stretch::-10pct,matrix,time_stretch:-10,time_stretch,,0.872578
36,stim_0120,folk_12::style_swap::swap_cross,matrix,style_swap:cross_genre,style_swap,expect_low,0.561532
37,stim_0055,classical_05::lowpass::lp8000,matrix,lowpass:8000,lowpass,,0.831893
38,stim_0091,electronic_06::pitch_shift::+4st,matrix,pitch_shift:4,pitch_shift,,0.781382
39,stim_0028,ambient_11::style_swap::swap_cross,matrix,style_swap:cross_genre,style_swap,expect_low,0.657749
