pair_id,mos
rerank_ace/s10::cand02,2.75
rerank_ace/s10::cand07,2.25
rerank_ace/s11::cand02,3.375
rerank_ace/s12::cand00,2.875
rerank_ace/s13::cand06,2.625
rerank_ace/s14::cand04,3.375
rerank_ace/s15::cand01,3.125
rock_01::pitch_shift::+1st,4.125
rock_02::lowpass::lp2000,2.725
rock_03::distortion::drv4,4.125
rock_04::lowpass::lp8000,3.5
rock_04::time_stretch::+5pct,3.0
rock_05::lowpass::lp4000,2.625
rock_05::time_stretch::-20pct,2.375
rock_06::control::ctrl,4.5
rock_07::distortion::drv32,1.95
rock_08::style_swap::swap_cross,1.425
rock_08::time_stretch::-5pct,3.875
rock_09::distortion::drv12,3.5
rock_10::pitch_shift::-1st,4.0
rock_10::time_stretch::+10pct,3.75
rock_11::pitch_shift::-4st,3.125
rock_11::time_stretch::+20pct,3.0
rock_12::time_stretch::-10pct,3.5
rock_13::pitch_shift::-2st,3.375
rock_14::pitch_shift::+4st,3.75
rock_15::pitch_shift::+2st,3.75
