pair_id,block,stimulus_set,source_id,genre,perturbation,condition,magnitude,ref_path,cand_path,score_H,score_T,score_R,score_S,C_uniform
ambient_08::lowpass::lp8000,block5,matrix,ambient_08,ambient,lowpass,lowpass:8000,8000.0,perturbations/audio/ambient_08__A.wav,perturbations/audio/ambient_08__lowpass__lp8000.wav,0.999979,0.467328,0.997865,0.816712,0.785576
rock_13::pitch_shift::-1st,block5,matrix,rock_13,rock,pitch_shift,pitch_shift:-1,-1.0,perturbations/audio/rock_13__A.wav,perturbations/audio/rock_13__pitch_shift__-1st.wav,0.769879,0.866179,0.995158,0.733132,0.835172
electronic_02::pitch_shift::-1st,block5,matrix,electronic_02,electronic,pitch_shift,pitch_shift:-1,-1.0,perturbations/audio/electronic_02__A.wav,perturbations/audio/electronic_02__pitch_shift__-1st.wav,0.854283,0.670267,0.994387,0.863993,0.837488
classical_02::pitch_shift::-2st,block5,matrix,classical_02,classical,pitch_shift,pitch_shift:-2,-2.0,perturbations/audio/classical_02__A.wav,perturbations/audio/classical_02__pitch_shift__-2st.wav,0.85427,0.672519,0.994177,0.723161,0.801677
rock_11::pitch_shift::-4st,block5,matrix,rock_11,rock,pitch_shift,pitch_shift:-4,-4.0,perturbations/audio/rock_11__A.wav,perturbations/audio/rock_11__pitch_shift__-4st.wav,0.954188,0.482477,0.939152,0.722407,0.747579
electronic_13::pitch_shift::-4st,block5,matrix,electronic_13,electronic,pitch_shift,pitch_shift:-4,-4.0,perturbations/audio/electronic_13__A.wav,perturbations/audio/electronic_13__pitch_shift__-4st.wav,0.969567,0.625223,0.984863,0.721952,0.81026
classical_04::pitch_shift::+1st,block5,matrix,classical_04,classical,pitch_shift,pitch_shift:1,1.0,perturbations/audio/classical_04__A.wav,perturbations/audio/classical_04__pitch_shift__+1st.wav,0.878067,0.802675,0.986214,0.744842,0.848254
folk_13::pitch_shift::+2st,block5,matrix,folk_13,folk,pitch_shift,pitch_shift:2,2.0,perturbations/audio/folk_13__A.wav,perturbations/audio/folk_13__pitch_shift__+2st.wav,0.683311,0.594636,0.990124,0.746731,0.740339
ambient_13::pitch_shift::+2st,block5,matrix,ambient_13,ambient,pitch_shift,pitch_shift:2,2.0,perturbations/audio/ambient_13__A.wav,perturbations/audio/ambient_13__pitch_shift__+2st.wav,0.742498,0.692902,0.972239,0.796399,0.794452
ambient_09::pitch_shift::+4st,block5,matrix,ambient_09,ambient,pitch_shift,pitch_shift:4,4.0,perturbations/audio/ambient_09__A.wav,perturbations/audio/ambient_09__pitch_shift__+4st.wav,0.689868,0.637622,0.971022,0.716196,0.7437
jazz_10::style_swap::swap_cross,block5,matrix,jazz_10,jazz,style_swap,style_swap:cross_genre,nan,perturbations/audio/jazz_10__A.wav,perturbations/audio/jazz_10__style_swap__swap_cross.wav,0.924891,0.411552,0.674367,0.536714,0.60924
rock_13::time_stretch::-10pct,block5,matrix,rock_13,rock,time_stretch,time_stretch:-10,-10.0,perturbations/audio/rock_13__A.wav,perturbations/audio/rock_13__time_stretch__-10pct.wav,0.994983,0.917741,0.843438,0.864162,0.903225
ambient_07::time_stretch::-10pct,block5,matrix,ambient_07,ambient,time_stretch,time_stretch:-10,-10.0,perturbations/audio/ambient_07__A.wav,perturbations/audio/ambient_07__time_stretch__-10pct.wav,0.997987,0.886904,0.86475,0.849696,0.898026
electronic_14::time_stretch::-20pct,block5,matrix,electronic_14,electronic,time_stretch,time_stretch:-20,-20.0,perturbations/audio/electronic_14__A.wav,perturbations/audio/electronic_14__time_stretch__-20pct.wav,0.992739,0.90374,0.412135,0.768463,0.730105
classical_02::time_stretch::-5pct,block5,matrix,classical_02,classical,time_stretch,time_stretch:-5,-5.0,perturbations/audio/classical_02__A.wav,perturbations/audio/classical_02__time_stretch__-5pct.wav,0.992919,0.828905,0.921832,0.787189,0.879098
rock_11::time_stretch::-5pct,block5,matrix,rock_11,rock,time_stretch,time_stretch:-5,-5.0,perturbations/audio/rock_11__A.wav,perturbations/audio/rock_11__time_stretch__-5pct.wav,0.997385,0.884576,0.657781,0.783748,0.821228
jazz_13::time_stretch::+10pct,block5,matrix,jazz_13,jazz,time_stretch,time_stretch:10,10.0,perturbations/audio/jazz_13__A.wav,perturbations/audio/jazz_13__time_stretch__+10pct.wav,0.997729,0.900051,0.632258,0.903019,0.84619
folk_01::time_stretch::+10pct,block5,matrix,folk_01,folk,time_stretch,time_stretch:10,10.0,perturbations/audio/folk_01__A.wav,perturbations/audio/folk_01__time_stretch__+10pct.wav,0.999683,0.907943,0.590399,0.798462,0.80878
classical_05::time_stretch::+20pct,block5,matrix,classical_05,classical,time_stretch,time_stretch:20,20.0,perturbations/audio/classical_05__A.wav,perturbations/audio/classical_05__time_stretch__+20pct.wav,0.995403,0.882352,0.540177,0.863696,0.800082
jazz_08::time_stretch::+5pct,block5,matrix,jazz_08,jazz,time_stretch,time_stretch:5,5.0,perturbations/audio/jazz_08__A.wav,perturbations/audio/jazz_08__time_stretch__+5pct.wav,0.994407,0.953706,0.833367,0.838798,0.902336
ambient_11::time_stretch::+5pct,block5,matrix,ambient_11,ambient,time_stretch,time_stretch:5,5.0,perturbations/audio/ambient_11__A.wav,perturbations/audio/ambient_11__time_stretch__+5pct.wav,0.99924,0.910075,0.823214,0.849994,0.893139
rerank_ace/s01::cand04,block1,ai_rerank,rerank_ace/s01,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand04__B.wav,0.97102,0.611935,0.827763,0.598805,0.736684
rerank_ace/s01::cand07,block1,ai_rerank,rerank_ace/s01,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand07__B.wav,0.922368,0.483117,0.694116,0.431081,0.604278
rerank_ace/s06::cand01,block1,ai_rerank,rerank_ace/s06,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s06__A.wav,results/rerank_ace/audio/s06_cand01__B.wav,0.964247,0.610485,0.938103,0.335859,0.656248
rerank_ace/s06::cand02,block1,ai_rerank,rerank_ace/s06,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s06__A.wav,results/rerank_ace/audio/s06_cand02__B.wav,0.953742,0.630147,0.911948,0.530775,0.73441
rerank_ace/s11::cand02,block1,ai_rerank,rerank_ace/s11,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s11__A.wav,results/rerank_ace/audio/s11_cand02__B.wav,0.998154,0.801692,0.966362,0.597429,0.824438
rerank_ace/s02::cand01,block2,ai_rerank,rerank_ace/s02,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand01__B.wav,0.998015,0.763052,0.983003,0.553818,0.802423
rerank_ace/s02::cand04,block2,ai_rerank,rerank_ace/s02,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand04__B.wav,0.99932,0.789726,0.953071,0.401814,0.741452
rerank_ace/s07::cand04,block2,ai_rerank,rerank_ace/s07,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s07__A.wav,results/rerank_ace/audio/s07_cand04__B.wav,0.998811,0.855236,0.991643,0.500036,0.806736
rerank_ace/s07::cand06,block2,ai_rerank,rerank_ace/s07,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s07__A.wav,results/rerank_ace/audio/s07_cand06__B.wav,0.999128,0.86333,0.989482,0.567907,0.834393
rerank_ace/s12::cand00,block2,ai_rerank,rerank_ace/s12,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s12__A.wav,results/rerank_ace/audio/s12_cand00__B.wav,0.997425,0.735857,0.970402,0.469601,0.760481
rerank_ace/s03::cand02,block3,ai_rerank,rerank_ace/s03,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand02__B.wav,0.995107,0.730806,0.977851,0.417399,0.738115
rerank_ace/s03::cand06,block3,ai_rerank,rerank_ace/s03,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand06__B.wav,0.97474,0.726604,0.943339,0.341605,0.691186
rerank_ace/s08::cand02,block3,ai_rerank,rerank_ace/s08,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s08__A.wav,results/rerank_ace/audio/s08_cand02__B.wav,0.951554,0.7219,0.934316,0.533197,0.764844
rerank_ace/s08::cand05,block3,ai_rerank,rerank_ace/s08,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s08__A.wav,results/rerank_ace/audio/s08_cand05__B.wav,0.993567,0.774422,0.958018,0.628768,0.825106
rerank_ace/s13::cand06,block3,ai_rerank,rerank_ace/s13,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s13__A.wav,results/rerank_ace/audio/s13_cand06__B.wav,0.993282,0.699317,0.93292,0.462862,0.740049
rerank_ace/s04::cand03,block4,ai_rerank,rerank_ace/s04,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s04__A.wav,results/rerank_ace/audio/s04_cand03__B.wav,0.997231,0.633502,0.819964,0.485366,0.708112
rerank_ace/s04::cand07,block4,ai_rerank,rerank_ace/s04,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s04__A.wav,results/rerank_ace/audio/s04_cand07__B.wav,0.998717,0.717661,0.955701,0.515644,0.770918
rerank_ace/s09::cand05,block4,ai_rerank,rerank_ace/s09,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s09__A.wav,results/rerank_ace/audio/s09_cand05__B.wav,0.981508,0.580332,0.853847,0.409598,0.668078
rerank_ace/s09::cand07,block4,ai_rerank,rerank_ace/s09,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s09__A.wav,results/rerank_ace/audio/s09_cand07__B.wav,0.985081,0.707329,0.937579,0.530826,0.767385
rerank_ace/s14::cand04,block4,ai_rerank,rerank_ace/s14,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s14__A.wav,results/rerank_ace/audio/s14_cand04__B.wav,0.999108,0.764702,0.927128,0.50022,0.771527
rerank_ace/s05::cand01,block5,ai_rerank,rerank_ace/s05,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s05__A.wav,results/rerank_ace/audio/s05_cand01__B.wav,0.996964,0.693728,0.953034,0.589622,0.789565
rerank_ace/s05::cand07,block5,ai_rerank,rerank_ace/s05,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s05__A.wav,results/rerank_ace/audio/s05_cand07__B.wav,0.977024,0.654274,0.954902,0.567908,0.767318
rerank_ace/s10::cand02,block5,ai_rerank,rerank_ace/s10,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s10__A.wav,results/rerank_ace/audio/s10_cand02__B.wav,0.990927,0.768467,0.961618,0.46163,0.762502
rerank_ace/s10::cand07,block5,ai_rerank,rerank_ace/s10,rerank_ace,ai_rerank_loser,ai_rerank_loser:0,0.0,results/rerank_ace/audio/s10__A.wav,results/rerank_ace/audio/s10_cand07__B.wav,0.990631,0.688356,0.93072,0.323553,0.673166
rerank_ace/s15::cand01,block5,ai_rerank,rerank_ace/s15,rerank_ace,ai_rerank_winner,ai_rerank_winner:0,0.0,results/rerank_ace/audio/s15__A.wav,results/rerank_ace/audio/s15_cand01__B.wav,0.977614,0.701921,0.95804,0.477515,0.748525
