pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_03::time_stretch::-20pct,classical_03,classical,R,time_stretch,-20.0,0.988867,0.715848,0.829220,0.769190
classical_03::time_stretch::-10pct,classical_03,classical,R,time_stretch,-10.0,0.994111,0.825710,0.831412,0.813658
classical_03::time_stretch::-5pct,classical_03,classical,R,time_stretch,-5.0,0.998174,0.900534,0.793413,0.817893
classical_03::time_stretch::+5pct,classical_03,classical,R,time_stretch,5.0,0.997193,0.892898,0.775429,0.728692
classical_03::time_stretch::+10pct,classical_03,classical,R,time_stretch,10.0,0.992930,0.888176,0.812694,0.771308
classical_03::time_stretch::+20pct,classical_03,classical,R,time_stretch,20.0,0.983839,0.850548,0.766852,0.598200
classical_03::lowpass::lp8000,classical_03,classical,T,lowpass,8000.0,1.000000,0.987020,0.999866,0.839068
classical_03::lowpass::lp4000,classical_03,classical,T,lowpass,4000.0,1.000000,0.981225,0.999840,0.889359
classical_03::lowpass::lp2000,classical_03,classical,T,lowpass,2000.0,1.000000,0.956241,0.999435,0.898359
classical_03::distortion::drv4,classical_03,classical,T,distortion,4.0,1.000000,0.963296,0.998157,0.815246
classical_03::distortion::drv12,classical_03,classical,T,distortion,12.0,0.999997,0.820762,0.992396,0.765749
classical_03::distortion::drv32,classical_03,classical,T,distortion,32.0,0.999737,0.639981,0.892109,0.412123
classical_03::style_swap::swap_cross,classical_03,classical,S,style_swap,nan,0.876702,0.363711,0.767462,0.039439
classical_03::style_swap::swap_same,classical_03,classical,S,style_swap,nan,0.791802,0.405002,0.900865,0.093171
classical_04::control::ctrl,classical_04,classical,control,control,0.0,1.000000,1.000000,1.000000,0.388036
classical_04::pitch_shift::-4st,classical_04,classical,H,pitch_shift,-4.0,0.902721,0.521585,0.984788,0.183430
classical_04::pitch_shift::-2st,classical_04,classical,H,pitch_shift,-2.0,0.902272,0.678855,0.987639,0.221810
classical_04::pitch_shift::-1st,classical_04,classical,H,pitch_shift,-1.0,0.881021,0.787717,0.988960,0.498941
classical_04::pitch_shift::+1st,classical_04,classical,H,pitch_shift,1.0,0.878067,0.802675,0.986214,0.289704
classical_04::pitch_shift::+2st,classical_04,classical,H,pitch_shift,2.0,0.905087,0.681803,0.982374,0.510852
classical_04::pitch_shift::+4st,classical_04,classical,H,pitch_shift,4.0,0.908763,0.550489,0.974613,0.365008
classical_04::time_stretch::-20pct,classical_04,classical,R,time_stretch,-20.0,0.998906,0.885519,0.682633,0.341451
classical_04::time_stretch::-10pct,classical_04,classical,R,time_stretch,-10.0,0.999131,0.906359,0.744330,0.387242
classical_04::time_stretch::-5pct,classical_04,classical,R,time_stretch,-5.0,0.999511,0.907233,0.799437,0.395447
classical_04::time_stretch::+5pct,classical_04,classical,R,time_stretch,5.0,0.999458,0.886120,0.663581,0.399947
classical_04::time_stretch::+10pct,classical_04,classical,R,time_stretch,10.0,0.998985,0.880722,0.671884,0.395447
classical_04::time_stretch::+20pct,classical_04,classical,R,time_stretch,20.0,0.998412,0.871281,0.675436,0.309291
classical_04::lowpass::lp8000,classical_04,classical,T,lowpass,8000.0,0.999962,0.494824,0.956801,0.423504
classical_04::lowpass::lp4000,classical_04,classical,T,lowpass,4000.0,0.999988,0.451422,0.946613,0.229751
classical_04::lowpass::lp2000,classical_04,classical,T,lowpass,2000.0,0.999784,0.424381,0.776986,0.154050
classical_04::distortion::drv4,classical_04,classical,T,distortion,4.0,0.998683,0.915623,0.998689,0.360376
classical_04::distortion::drv12,classical_04,classical,T,distortion,12.0,0.999733,0.727059,0.990520,0.303335
classical_04::distortion::drv32,classical_04,classical,T,distortion,32.0,0.997847,0.596923,0.933518,0.145315
classical_04::style_swap::swap_cross,classical_04,classical,S,style_swap,nan,0.718854,0.437217,0.680685,0.107994
classical_04::style_swap::swap_same,classical_04,classical,S,style_swap,nan,0.865958,0.423247,0.690669,0.118052
classical_05::control::ctrl,classical_05,classical,control,control,0.0,1.000000,1.000000,1.000000,0.880095
classical_05::pitch_shift::-4st,classical_05,classical,H,pitch_shift,-4.0,0.826430,0.543608,0.986932,0.419005
classical_05::pitch_shift::-2st,classical_05,classical,H,pitch_shift,-2.0,0.931116,0.681547,0.991416,0.700635
classical_05::pitch_shift::-1st,classical_05,classical,H,pitch_shift,-1.0,0.780394,0.785340,0.993429,0.390683
classical_05::pitch_shift::+1st,classical_05,classical,H,pitch_shift,1.0,0.780385,0.799396,0.991523,0.542880
classical_05::pitch_shift::+2st,classical_05,classical,H,pitch_shift,2.0,0.917132,0.678307,0.986772,0.434621
classical_05::pitch_shift::+4st,classical_05,classical,H,pitch_shift,4.0,0.815830,0.558801,0.972734,0.356803
classical_05::time_stretch::-20pct,classical_05,classical,R,time_stretch,-20.0,0.994855,0.836550,0.518477,0.783483
classical_05::time_stretch::-10pct,classical_05,classical,R,time_stretch,-10.0,0.997507,0.893827,0.612752,0.782425
