pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_03::time_stretch::-20pct,classical_03,classical,R,time_stretch,-20.0,0.988867,0.715848,0.829220,0.826457
classical_03::time_stretch::-10pct,classical_03,classical,R,time_stretch,-10.0,0.994111,0.825710,0.831412,0.821946
classical_03::time_stretch::-5pct,classical_03,classical,R,time_stretch,-5.0,0.998174,0.900534,0.793413,0.829734
classical_03::time_stretch::+5pct,classical_03,classical,R,time_stretch,5.0,0.997193,0.892898,0.775429,0.823327
classical_03::time_stretch::+10pct,classical_03,classical,R,time_stretch,10.0,0.992930,0.888176,0.812694,0.828741
classical_03::time_stretch::+20pct,classical_03,classical,R,time_stretch,20.0,0.983839,0.850548,0.766852,0.802008
classical_03::lowpass::lp8000,classical_03,classical,T,lowpass,8000.0,1.000000,0.987020,0.999866,0.844438
classical_03::lowpass::lp4000,classical_03,classical,T,lowpass,4000.0,1.000000,0.981225,0.999840,0.853351
classical_03::lowpass::lp2000,classical_03,classical,T,lowpass,2000.0,1.000000,0.956241,0.999435,0.858405
classical_03::distortion::drv4,classical_03,classical,T,distortion,4.0,1.000000,0.963296,0.998157,0.831880
classical_03::distortion::drv12,classical_03,classical,T,distortion,12.0,0.999997,0.820762,0.992396,0.807928
classical_03::distortion::drv32,classical_03,classical,T,distortion,32.0,0.999737,0.639981,0.892109,0.721117
classical_03::style_swap::swap_cross,classical_03,classical,S,style_swap,nan,0.876702,0.363711,0.767462,0.589374
classical_03::style_swap::swap_same,classical_03,classical,S,style_swap,nan,0.791802,0.405002,0.900865,0.664596
classical_04::control::ctrl,classical_04,classical,control,control,0.0,1.000000,1.000000,1.000000,0.770551
classical_04::pitch_shift::-4st,classical_04,classical,H,pitch_shift,-4.0,0.902721,0.521585,0.984788,0.643491
classical_04::pitch_shift::-2st,classical_04,classical,H,pitch_shift,-2.0,0.902272,0.678855,0.987639,0.719199
classical_04::pitch_shift::-1st,classical_04,classical,H,pitch_shift,-1.0,0.881021,0.787717,0.988960,0.776390
classical_04::pitch_shift::+1st,classical_04,classical,H,pitch_shift,1.0,0.878067,0.802675,0.986214,0.744842
classical_04::pitch_shift::+2st,classical_04,classical,H,pitch_shift,2.0,0.905087,0.681803,0.982374,0.791483
classical_04::pitch_shift::+4st,classical_04,classical,H,pitch_shift,4.0,0.908763,0.550489,0.974613,0.721649
classical_04::time_stretch::-20pct,classical_04,classical,R,time_stretch,-20.0,0.998906,0.885519,0.682633,0.767258
classical_04::time_stretch::-10pct,classical_04,classical,R,time_stretch,-10.0,0.999131,0.906359,0.744330,0.772562
classical_04::time_stretch::-5pct,classical_04,classical,R,time_stretch,-5.0,0.999511,0.907233,0.799437,0.776949
classical_04::time_stretch::+5pct,classical_04,classical,R,time_stretch,5.0,0.999458,0.886120,0.663581,0.784653
classical_04::time_stretch::+10pct,classical_04,classical,R,time_stretch,10.0,0.998985,0.880722,0.671884,0.792519
classical_04::time_stretch::+20pct,classical_04,classical,R,time_stretch,20.0,0.998412,0.871281,0.675436,0.753843
classical_04::lowpass::lp8000,classical_04,classical,T,lowpass,8000.0,0.999962,0.494824,0.956801,0.780580
classical_04::lowpass::lp4000,classical_04,classical,T,lowpass,4000.0,0.999988,0.451422,0.946613,0.694652
classical_04::lowpass::lp2000,classical_04,classical,T,lowpass,2000.0,0.999784,0.424381,0.776986,0.695091
classical_04::distortion::drv4,classical_04,classical,T,distortion,4.0,0.998683,0.915623,0.998689,0.760515
classical_04::distortion::drv12,classical_04,classical,T,distortion,12.0,0.999733,0.727059,0.990520,0.740661
classical_04::distortion::drv32,classical_04,classical,T,distortion,32.0,0.997847,0.596923,0.933518,0.657715
classical_04::style_swap::swap_cross,classical_04,classical,S,style_swap,nan,0.718854,0.437217,0.680685,0.598123
classical_04::style_swap::swap_same,classical_04,classical,S,style_swap,nan,0.865958,0.423247,0.690669,0.636853
classical_05::control::ctrl,classical_05,classical,control,control,0.0,1.000000,1.000000,1.000000,0.863103
classical_05::pitch_shift::-4st,classical_05,classical,H,pitch_shift,-4.0,0.826430,0.543608,0.986932,0.696754
classical_05::pitch_shift::-2st,classical_05,classical,H,pitch_shift,-2.0,0.931116,0.681547,0.991416,0.812404
classical_05::pitch_shift::-1st,classical_05,classical,H,pitch_shift,-1.0,0.780394,0.785340,0.993429,0.655161
classical_05::pitch_shift::+1st,classical_05,classical,H,pitch_shift,1.0,0.780385,0.799396,0.991523,0.781985
classical_05::pitch_shift::+2st,classical_05,classical,H,pitch_shift,2.0,0.917132,0.678307,0.986772,0.756069
classical_05::pitch_shift::+4st,classical_05,classical,H,pitch_shift,4.0,0.815830,0.558801,0.972734,0.606838
classical_05::time_stretch::-20pct,classical_05,classical,R,time_stretch,-20.0,0.994855,0.836550,0.518477,0.848184
classical_05::time_stretch::-10pct,classical_05,classical,R,time_stretch,-10.0,0.997507,0.893827,0.612752,0.847492
classical_05::time_stretch::-5pct,classical_05,classical,R,time_stretch,-5.0,0.998375,0.920109,0.697140,0.861150
classical_05::time_stretch::+5pct,classical_05,classical,R,time_stretch,5.0,0.997909,0.917585,0.699425,0.870052
classical_05::time_stretch::+10pct,classical_05,classical,R,time_stretch,10.0,0.997040,0.901905,0.634037,0.846979
classical_05::time_stretch::+20pct,classical_05,classical,R,time_stretch,20.0,0.995403,0.882352,0.540177,0.863696
classical_05::lowpass::lp8000,classical_05,classical,T,lowpass,8000.0,0.999994,0.555207,0.997365,0.864897
classical_05::lowpass::lp4000,classical_05,classical,T,lowpass,4000.0,0.999994,0.424309,0.988053,0.801758
classical_05::lowpass::lp2000,classical_05,classical,T,lowpass,2000.0,0.999981,0.420024,0.975184,0.811394
classical_05::distortion::drv4,classical_05,classical,T,distortion,4.0,0.999044,0.611597,0.988815,0.759743
classical_05::distortion::drv12,classical_05,classical,T,distortion,12.0,0.995044,0.453771,0.963500,0.639261
classical_05::distortion::drv32,classical_05,classical,T,distortion,32.0,0.992742,0.462087,0.937098,0.596926
classical_05::style_swap::swap_cross,classical_05,classical,S,style_swap,nan,0.834885,0.443612,0.697140,0.592101
classical_05::style_swap::swap_same,classical_05,classical,S,style_swap,nan,0.942535,0.470888,0.630491,0.628517
classical_06::control::ctrl,classical_06,classical,control,control,0.0,1.000000,1.000000,1.000000,0.683052
classical_06::pitch_shift::-4st,classical_06,classical,H,pitch_shift,-4.0,0.734047,0.709554,0.989257,0.669314
classical_06::pitch_shift::-2st,classical_06,classical,H,pitch_shift,-2.0,0.825350,0.804681,0.991395,0.685565
classical_06::pitch_shift::-1st,classical_06,classical,H,pitch_shift,-1.0,0.741674,0.851268,0.992159,0.715078
classical_06::pitch_shift::+1st,classical_06,classical,H,pitch_shift,1.0,0.777363,0.866080,0.943706,0.738644
classical_06::pitch_shift::+2st,classical_06,classical,H,pitch_shift,2.0,0.852149,0.794743,0.965252,0.662846
classical_06::pitch_shift::+4st,classical_06,classical,H,pitch_shift,4.0,0.760496,0.657445,0.963410,0.723759
classical_06::time_stretch::-20pct,classical_06,classical,R,time_stretch,-20.0,0.988067,0.687602,0.834439,0.652644
classical_06::time_stretch::-10pct,classical_06,classical,R,time_stretch,-10.0,0.993930,0.845693,0.902673,0.689541
classical_06::time_stretch::-5pct,classical_06,classical,R,time_stretch,-5.0,0.997987,0.879530,0.930268,0.724054
classical_06::time_stretch::+5pct,classical_06,classical,R,time_stretch,5.0,0.997436,0.871008,0.929823,0.695743
classical_06::time_stretch::+10pct,classical_06,classical,R,time_stretch,10.0,0.986519,0.892624,0.883941,0.689626
classical_06::time_stretch::+20pct,classical_06,classical,R,time_stretch,20.0,0.985704,0.848804,0.887923,0.667647
classical_06::lowpass::lp8000,classical_06,classical,T,lowpass,8000.0,0.999344,0.847287,0.999466,0.695906
classical_06::lowpass::lp4000,classical_06,classical,T,lowpass,4000.0,0.998589,0.628359,0.997548,0.649627
classical_06::lowpass::lp2000,classical_06,classical,T,lowpass,2000.0,0.999230,0.529815,0.993118,0.605904
classical_06::distortion::drv4,classical_06,classical,T,distortion,4.0,0.999532,0.849352,0.985212,0.680820
classical_06::distortion::drv12,classical_06,classical,T,distortion,12.0,0.994831,0.648839,0.949694,0.540312
classical_06::distortion::drv32,classical_06,classical,T,distortion,32.0,0.989607,0.587683,0.942812,0.443670
classical_06::style_swap::swap_cross,classical_06,classical,S,style_swap,nan,0.860518,0.472724,0.758398,0.549085
classical_06::style_swap::swap_same,classical_06,classical,S,style_swap,nan,0.818979,0.522514,0.856778,0.706083
classical_07::control::ctrl,classical_07,classical,control,control,0.0,1.000000,1.000000,1.000000,0.726878
classical_07::pitch_shift::-4st,classical_07,classical,H,pitch_shift,-4.0,0.757308,0.547150,0.992228,0.634361
classical_07::pitch_shift::-2st,classical_07,classical,H,pitch_shift,-2.0,0.520474,0.674674,0.997295,0.662274
classical_07::pitch_shift::-1st,classical_07,classical,H,pitch_shift,-1.0,0.613616,0.808642,0.998706,0.697808
classical_07::pitch_shift::+1st,classical_07,classical,H,pitch_shift,1.0,0.608660,0.788862,0.979739,0.702007
classical_07::pitch_shift::+2st,classical_07,classical,H,pitch_shift,2.0,0.502097,0.669379,0.975721,0.631703
classical_07::pitch_shift::+4st,classical_07,classical,H,pitch_shift,4.0,0.742213,0.536622,0.967458,0.654416
classical_07::time_stretch::-20pct,classical_07,classical,R,time_stretch,-20.0,0.988439,0.818068,0.735008,0.739775
classical_07::time_stretch::-10pct,classical_07,classical,R,time_stretch,-10.0,0.999372,0.892039,0.779972,0.758826
classical_07::time_stretch::-5pct,classical_07,classical,R,time_stretch,-5.0,0.999394,0.928397,0.796430,0.742898
classical_07::time_stretch::+5pct,classical_07,classical,R,time_stretch,5.0,0.998852,0.893700,0.819091,0.742265
classical_07::time_stretch::+10pct,classical_07,classical,R,time_stretch,10.0,0.997609,0.865240,0.775110,0.709497
classical_07::time_stretch::+20pct,classical_07,classical,R,time_stretch,20.0,0.994535,0.846588,0.725697,0.726809
classical_07::lowpass::lp8000,classical_07,classical,T,lowpass,8000.0,1.000000,0.887378,0.999931,0.738480
classical_07::lowpass::lp4000,classical_07,classical,T,lowpass,4000.0,0.999998,0.675770,0.999563,0.746205
classical_07::lowpass::lp2000,classical_07,classical,T,lowpass,2000.0,0.999805,0.529654,0.997893,0.685526
classical_07::distortion::drv4,classical_07,classical,T,distortion,4.0,0.999686,0.830664,0.999399,0.732884
classical_07::distortion::drv12,classical_07,classical,T,distortion,12.0,0.997603,0.688581,0.997957,0.681682
classical_07::distortion::drv32,classical_07,classical,T,distortion,32.0,0.991400,0.600469,0.995059,0.579242
classical_07::style_swap::swap_cross,classical_07,classical,S,style_swap,nan,0.561467,0.441637,0.729005,0.652580
classical_07::style_swap::swap_same,classical_07,classical,S,style_swap,nan,0.900928,0.479527,0.776503,0.634711
classical_08::control::ctrl,classical_08,classical,control,control,0.0,1.000000,0.999999,1.000000,0.850615
classical_08::pitch_shift::-4st,classical_08,classical,H,pitch_shift,-4.0,0.664641,0.515556,0.969442,0.704359
classical_08::pitch_shift::-2st,classical_08,classical,H,pitch_shift,-2.0,0.587997,0.626644,0.971744,0.705016
classical_08::pitch_shift::-1st,classical_08,classical,H,pitch_shift,-1.0,0.621717,0.742298,0.973566,0.794787
classical_08::pitch_shift::+1st,classical_08,classical,H,pitch_shift,1.0,0.638426,0.714910,0.992626,0.807888
classical_08::pitch_shift::+2st,classical_08,classical,H,pitch_shift,2.0,0.581754,0.619610,0.981229,0.766917
classical_08::pitch_shift::+4st,classical_08,classical,H,pitch_shift,4.0,0.644201,0.475109,0.978376,0.785706
classical_08::time_stretch::-20pct,classical_08,classical,R,time_stretch,-20.0,0.992931,0.816711,0.907733,0.828568
classical_08::time_stretch::-10pct,classical_08,classical,R,time_stretch,-10.0,0.998571,0.876612,0.909192,0.829006
classical_08::time_stretch::-5pct,classical_08,classical,R,time_stretch,-5.0,0.998955,0.835725,0.933794,0.844979
classical_08::time_stretch::+5pct,classical_08,classical,R,time_stretch,5.0,0.998499,0.862341,0.945829,0.832922
classical_08::time_stretch::+10pct,classical_08,classical,R,time_stretch,10.0,0.998927,0.886902,0.931894,0.814033
classical_08::time_stretch::+20pct,classical_08,classical,R,time_stretch,20.0,0.997634,0.867187,0.913347,0.785418
classical_08::lowpass::lp8000,classical_08,classical,T,lowpass,8000.0,0.999998,0.958808,0.999964,0.852992
classical_08::lowpass::lp4000,classical_08,classical,T,lowpass,4000.0,0.999966,0.949259,0.999725,0.862291
classical_08::lowpass::lp2000,classical_08,classical,T,lowpass,2000.0,0.999991,0.464655,0.978766,0.809842
classical_08::distortion::drv4,classical_08,classical,T,distortion,4.0,0.998720,0.573731,0.982074,0.786626
classical_08::distortion::drv12,classical_08,classical,T,distortion,12.0,0.984657,0.414515,0.972304,0.548975
classical_08::distortion::drv32,classical_08,classical,T,distortion,32.0,0.967876,0.408195,0.979024,0.435135
classical_08::style_swap::swap_cross,classical_08,classical,S,style_swap,nan,0.809106,0.416323,0.888815,0.604412
classical_08::style_swap::swap_same,classical_08,classical,S,style_swap,nan,0.809079,0.380344,0.901239,0.667203
classical_09::control::ctrl,classical_09,classical,control,control,0.0,1.000000,1.000000,1.000000,0.779827
classical_09::pitch_shift::-4st,classical_09,classical,H,pitch_shift,-4.0,0.848484,0.621390,0.993900,0.656669
classical_09::pitch_shift::-2st,classical_09,classical,H,pitch_shift,-2.0,0.849070,0.726420,0.998179,0.696997
