pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_03::pitch_shift::-1st,classical_03,classical,pitch_shift,-1.0,0.697189,0.819816,0.924334,0.797457,0.8009933484752951,0.8063266666666666
classical_03::pitch_shift::+1st,classical_03,classical,pitch_shift,1.0,0.685872,0.811784,0.988392,0.83292,0.8265298231220026,0.835728
classical_03::pitch_shift::+2st,classical_03,classical,pitch_shift,2.0,0.784037,0.713773,0.879468,0.801912,0.8207819002549563,0.8218056666666667
classical_03::pitch_shift::+4st,classical_03,classical,pitch_shift,4.0,0.755407,0.595073,0.862042,0.780281,0.797970471644665,0.7992433333333333
classical_03::time_stretch::-20pct,classical_03,classical,time_stretch,-20.0,0.988873,0.715888,0.829531,0.826457,0.8784784940239578,0.8816203333333332
classical_03::time_stretch::-10pct,classical_03,classical,time_stretch,-10.0,0.994096,0.828248,0.830914,0.821946,0.8789062706675456,0.8823186666666666
classical_03::time_stretch::-5pct,classical_03,classical,time_stretch,-5.0,0.998272,0.902038,0.858321,0.829734,0.8925087959874497,0.8954423333333333
classical_03::time_stretch::+5pct,classical_03,classical,time_stretch,5.0,0.997052,0.887516,0.796007,0.823327,0.8677654429744072,0.8721286666666667
classical_03::time_stretch::+10pct,classical_03,classical,time_stretch,10.0,0.995176,0.89404,0.781351,0.828741,0.8637504707727074,0.8684226666666666
classical_03::time_stretch::+20pct,classical_03,classical,time_stretch,20.0,0.986146,0.849383,0.769112,0.802008,0.8472986252633081,0.852422
classical_03::lowpass::lp8000,classical_03,classical,lowpass,8000.0,1.0,0.98702,0.999866,0.844438,0.9451553341729412,0.9481013333333332
classical_03::lowpass::lp4000,classical_03,classical,lowpass,4000.0,1.0,0.981225,0.99984,0.853351,0.9484608368495596,0.9510636666666665
classical_03::lowpass::lp2000,classical_03,classical,lowpass,2000.0,1.0,0.956241,0.999435,0.858405,0.9502012505029801,0.9526133333333333
classical_03::distortion::drv4,classical_03,classical,distortion,4.0,1.0,0.963298,0.998158,0.83188,0.9399108399815503,0.9433459999999999
classical_03::distortion::drv12,classical_03,classical,distortion,12.0,0.999997,0.820762,0.992398,0.807928,0.9290071981289427,0.933441
classical_03::distortion::drv32,classical_03,classical,distortion,32.0,0.999737,0.639981,0.892112,0.721117,0.86318448743819,0.8709886666666666
