pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_03::pitch_shift::-2st,classical_03,classical,pitch_shift,-2.0,0.782893,0.71388,0.874173,0.80961,0.7964640095652927,0.799221
classical_03::pitch_shift::-1st,classical_03,classical,pitch_shift,-1.0,0.697189,0.819816,0.924334,0.797457,0.845442736990012,0.8472023333333332
classical_03::pitch_shift::+1st,classical_03,classical,pitch_shift,1.0,0.685872,0.811784,0.988392,0.83292,0.8742943391281124,0.8776986666666666
classical_03::pitch_shift::+2st,classical_03,classical,pitch_shift,2.0,0.784037,0.713773,0.879468,0.801912,0.7954916464062106,0.7983843333333333
classical_03::pitch_shift::+4st,classical_03,classical,pitch_shift,4.0,0.755407,0.595073,0.862042,0.780281,0.736970155818589,0.7457986666666666
classical_03::time_stretch::-20pct,classical_03,classical,time_stretch,-20.0,0.988873,0.715888,0.829531,0.826457,0.7887983410005074,0.7906253333333333
classical_03::time_stretch::-10pct,classical_03,classical,time_stretch,-10.0,0.994096,0.828248,0.830914,0.821946,0.8270274404730377,0.8270359999999999
classical_03::time_stretch::-5pct,classical_03,classical,time_stretch,-5.0,0.998272,0.902038,0.858321,0.829734,0.8628549986741246,0.8633643333333333
classical_03::time_stretch::+5pct,classical_03,classical,time_stretch,5.0,0.997052,0.887516,0.796007,0.823327,0.8347475350639614,0.8356166666666667
classical_03::time_stretch::+10pct,classical_03,classical,time_stretch,10.0,0.995176,0.89404,0.781351,0.828741,0.8334393136120252,0.8347106666666666
classical_03::time_stretch::+20pct,classical_03,classical,time_stretch,20.0,0.986146,0.849383,0.769112,0.802008,0.8061650216152136,0.8068343333333333
classical_03::lowpass::lp8000,classical_03,classical,lowpass,8000.0,1.0,0.98702,0.999866,0.844438,0.9410481400404944,0.9437746666666667
classical_03::lowpass::lp4000,classical_03,classical,lowpass,4000.0,1.0,0.981225,0.99984,0.853351,0.942487512270487,0.9448053333333333
classical_03::lowpass::lp2000,classical_03,classical,lowpass,2000.0,1.0,0.956241,0.999435,0.858405,0.9361340695419901,0.9380269999999999
classical_03::distortion::drv4,classical_03,classical,distortion,4.0,1.0,0.963298,0.998158,0.83188,0.9282683530630468,0.9311119999999999
classical_03::distortion::drv12,classical_03,classical,distortion,12.0,0.999997,0.820762,0.992398,0.807928,0.8698117304039445,0.8736959999999999
classical_03::distortion::drv32,classical_03,classical,distortion,32.0,0.999737,0.639981,0.892112,0.721117,0.7439277035491333,0.75107
classical_03::style_swap::swap_cross,classical_03,classical,style_swap,nan,0.876701,0.36371,0.767467,0.589374,0.5479429058364623,0.5735169999999999
classical_03::style_swap::swap_same,classical_03,classical,style_swap,nan,0.791802,0.405002,0.900867,0.664596,0.6235795387744628,0.6568216666666666
classical_04::control::ctrl,classical_04,classical,control,0.0,1.0,1.0,1.0,0.770551,0.9167842200023688,0.9235169999999999
classical_04::pitch_shift::-4st,classical_04,classical,pitch_shift,-4.0,0.901489,0.521403,0.984482,0.643491,0.6912597356697313,0.7164586666666666
classical_04::pitch_shift::-2st,classical_04,classical,pitch_shift,-2.0,0.902143,0.678577,0.987468,0.719199,0.7840138720421459,0.7950813333333333
classical_04::pitch_shift::-1st,classical_04,classical,pitch_shift,-1.0,0.887219,0.788843,0.989224,0.77639,0.8461649874407651,0.8514856666666666
classical_04::pitch_shift::+1st,classical_04,classical,pitch_shift,1.0,0.877595,0.80129,0.986898,0.744842,0.83825351476872,0.8443433333333332
classical_04::pitch_shift::+2st,classical_04,classical,pitch_shift,2.0,0.905721,0.680111,0.982468,0.791483,0.8086860187654581,0.8180206666666666
classical_04::pitch_shift::+4st,classical_04,classical,pitch_shift,4.0,0.908542,0.550581,0.97458,0.721649,0.7288781136963037,0.7489366666666666
classical_04::time_stretch::-20pct,classical_04,classical,time_stretch,-20.0,0.99867,0.886804,0.68228,0.767258,0.7743023366399058,0.7787806666666666
classical_04::time_stretch::-10pct,classical_04,classical,time_stretch,-10.0,0.999432,0.906711,0.743844,0.772562,0.8046889367676555,0.8077056666666665
classical_04::time_stretch::-5pct,classical_04,classical,time_stretch,-5.0,0.999685,0.907272,0.799026,0.776949,0.8258420209684166,0.8277489999999998
classical_04::time_stretch::+5pct,classical_04,classical,time_stretch,5.0,0.999197,0.887242,0.829843,0.784653,0.8328597780501291,0.8339126666666665
classical_04::time_stretch::+10pct,classical_04,classical,time_stretch,10.0,0.99876,0.879805,0.671739,0.792519,0.7766026902933159,0.7813543333333333
classical_04::time_stretch::+20pct,classical_04,classical,time_stretch,20.0,0.997952,0.873481,0.675817,0.753843,0.7634627056251173,0.7677136666666666
classical_04::lowpass::lp8000,classical_04,classical,lowpass,8000.0,0.999962,0.494824,0.956801,0.78058,0.717623411604014,0.7440683333333333
classical_04::lowpass::lp4000,classical_04,classical,lowpass,4000.0,0.999988,0.451422,0.946613,0.694652,0.6670742221505995,0.6975623333333334
classical_04::lowpass::lp2000,classical_04,classical,lowpass,2000.0,0.999784,0.424381,0.776986,0.695091,0.6119795786244182,0.6321526666666666
classical_04::distortion::drv4,classical_04,classical,distortion,4.0,0.998683,0.915623,0.998689,0.760515,0.8859684324792438,0.891609
classical_04::distortion::drv12,classical_04,classical,distortion,12.0,0.999733,0.727059,0.99052,0.740661,0.8109936622819323,0.8194133333333333
classical_04::distortion::drv32,classical_04,classical,distortion,32.0,0.997847,0.596923,0.933518,0.657715,0.7156372178475161,0.7293853333333333
classical_04::style_swap::swap_cross,classical_04,classical,style_swap,nan,0.718854,0.437217,0.680686,0.598123,0.5625288323729379,0.5720086666666666
classical_04::style_swap::swap_same,classical_04,classical,style_swap,nan,0.865958,0.423247,0.690671,0.636853,0.570998239903507,0.5835903333333333
classical_05::control::ctrl,classical_05,classical,control,0.0,1.0,1.0,1.0,0.863103,0.9521109108593272,0.9543676666666666
classical_05::pitch_shift::-4st,classical_05,classical,pitch_shift,-4.0,0.821281,0.543714,0.987096,0.696754,0.7204488063125251,0.7425213333333334
classical_05::pitch_shift::-2st,classical_05,classical,pitch_shift,-2.0,0.930625,0.682357,0.991845,0.812404,0.8192362686694392,0.8288686666666667
classical_05::pitch_shift::-1st,classical_05,classical,pitch_shift,-1.0,0.779984,0.785097,0.99359,0.655161,0.7995142136052729,0.8112826666666666
classical_05::pitch_shift::+1st,classical_05,classical,pitch_shift,1.0,0.784711,0.799547,0.991536,0.781985,0.8526752080350128,0.8576893333333333
classical_05::pitch_shift::+2st,classical_05,classical,pitch_shift,2.0,0.917062,0.677257,0.987259,0.756069,0.7966153646502265,0.8068616666666666
classical_05::pitch_shift::+4st,classical_05,classical,pitch_shift,4.0,0.813794,0.55841,0.972983,0.606838,0.690839353737766,0.7127436666666667
classical_05::time_stretch::-20pct,classical_05,classical,time_stretch,-20.0,0.994883,0.833714,0.518475,0.848184,0.7157230381668148,0.7334576666666666
classical_05::time_stretch::-10pct,classical_05,classical,time_stretch,-10.0,0.997262,0.893617,0.612751,0.847492,0.7742068675434667,0.78462
classical_05::time_stretch::-5pct,classical_05,classical,time_stretch,-5.0,0.998358,0.917155,0.69714,0.86115,0.8196224559889442,0.8251483333333333
classical_05::time_stretch::+5pct,classical_05,classical,time_stretch,5.0,0.997766,0.918096,0.699806,0.870052,0.8237656065360355,0.829318
classical_05::time_stretch::+10pct,classical_05,classical,time_stretch,10.0,0.997508,0.900887,0.634461,0.846979,0.7852042314103621,0.794109
classical_05::time_stretch::+20pct,classical_05,classical,time_stretch,20.0,0.99558,0.881636,0.540175,0.863696,0.7436950681580159,0.7618356666666666
classical_05::lowpass::lp8000,classical_05,classical,lowpass,8000.0,0.999994,0.555207,0.997365,0.864897,0.7823921465629937,0.805823
classical_05::lowpass::lp4000,classical_05,classical,lowpass,4000.0,0.999994,0.424309,0.988053,0.801758,0.6952941824041474,0.7380399999999999
classical_05::lowpass::lp2000,classical_05,classical,lowpass,2000.0,0.999981,0.420024,0.975184,0.811394,0.692677086942723,0.7355339999999999
classical_05::distortion::drv4,classical_05,classical,distortion,4.0,0.999044,0.611597,0.988816,0.759743,0.7716419792119877,0.7867186666666666
classical_05::distortion::drv12,classical_05,classical,distortion,12.0,0.995044,0.453771,0.9635,0.639261,0.6538160165902938,0.6855106666666666
classical_05::distortion::drv32,classical_05,classical,distortion,32.0,0.992742,0.462087,0.937098,0.596926,0.6370053586405784,0.6653703333333333
classical_05::style_swap::swap_cross,classical_05,classical,style_swap,nan,0.834885,0.443612,0.69714,0.592101,0.5678579288233937,0.5776176666666666
classical_05::style_swap::swap_same,classical_05,classical,style_swap,nan,0.942535,0.470888,0.63049,0.628517,0.5714404137819352,0.5766316666666667
classical_06::control::ctrl,classical_06,classical,control,0.0,1.0,1.0,1.0,0.683052,0.880679571491131,0.8943506666666666
classical_06::pitch_shift::-4st,classical_06,classical,pitch_shift,-4.0,0.733397,0.711626,0.939725,0.669314,0.7649402246132463,0.773555
classical_06::pitch_shift::-2st,classical_06,classical,pitch_shift,-2.0,0.823548,0.805637,0.991601,0.685565,0.818166448160914,0.8276009999999999
classical_06::pitch_shift::-1st,classical_06,classical,pitch_shift,-1.0,0.731105,0.846515,0.925951,0.715078,0.8245025945883189,0.8291813333333333
classical_06::pitch_shift::+1st,classical_06,classical,pitch_shift,1.0,0.770905,0.868857,0.992582,0.738644,0.8604321406086162,0.8666943333333332
classical_06::pitch_shift::+2st,classical_06,classical,pitch_shift,2.0,0.851748,0.789879,0.964994,0.662846,0.7964636141901529,0.8059063333333334
classical_06::pitch_shift::+4st,classical_06,classical,pitch_shift,4.0,0.755599,0.653797,0.962346,0.723759,0.7693477985373218,0.7799673333333333
classical_06::time_stretch::-20pct,classical_06,classical,time_stretch,-20.0,0.988113,0.686575,0.852273,0.652644,0.7255171593975428,0.7304973333333333
classical_06::time_stretch::-10pct,classical_06,classical,time_stretch,-10.0,0.993382,0.845399,0.902407,0.689541,0.8072500734585344,0.812449
classical_06::time_stretch::-5pct,classical_06,classical,time_stretch,-5.0,0.998471,0.87979,0.930706,0.724054,0.8400803583245252,0.8448499999999999
classical_06::time_stretch::+5pct,classical_06,classical,time_stretch,5.0,0.996704,0.870391,0.930276,0.695743,0.8258953444442795,0.8321366666666666
classical_06::time_stretch::+10pct,classical_06,classical,time_stretch,10.0,0.991961,0.896454,0.864233,0.689626,0.8114420204615924,0.8167709999999999
classical_06::time_stretch::+20pct,classical_06,classical,time_stretch,20.0,0.98738,0.842828,0.910583,0.667647,0.8002059906302899,0.8070193333333333
classical_06::lowpass::lp8000,classical_06,classical,lowpass,8000.0,0.999344,0.847287,0.999466,0.695906,0.8383970012240806,0.847553
classical_06::lowpass::lp4000,classical_06,classical,lowpass,4000.0,0.998589,0.628359,0.997548,0.649627,0.7411997025027888,0.7585113333333333
classical_06::lowpass::lp2000,classical_06,classical,lowpass,2000.0,0.99923,0.529815,0.993118,0.605904,0.6831398828832567,0.7096123333333333
classical_06::distortion::drv4,classical_06,classical,distortion,4.0,0.999532,0.849352,0.985212,0.68082,0.8289911686740196,0.8384613333333333
classical_06::distortion::drv12,classical_06,classical,distortion,12.0,0.994831,0.64884,0.949693,0.540312,0.6930881738210687,0.7129483333333333
classical_06::distortion::drv32,classical_06,classical,distortion,32.0,0.989607,0.587683,0.942812,0.44367,0.6264351200418989,0.658055
classical_06::style_swap::swap_cross,classical_06,classical,style_swap,nan,0.860518,0.472724,0.758397,0.549085,0.5817208267142338,0.593402
classical_06::style_swap::swap_same,classical_06,classical,style_swap,nan,0.818979,0.522514,0.856777,0.706083,0.6811987285181333,0.6951246666666666
classical_07::control::ctrl,classical_07,classical,control,0.0,1.0,1.0,1.0,0.726878,0.8991259003012722,0.9089593333333332
classical_07::pitch_shift::-4st,classical_07,classical,pitch_shift,-4.0,0.757175,0.546959,0.992101,0.634361,0.7008348857787677,0.7244736666666667
classical_07::pitch_shift::-2st,classical_07,classical,pitch_shift,-2.0,0.520225,0.674968,0.997295,0.662274,0.763920521721976,0.778179
classical_07::pitch_shift::-1st,classical_07,classical,pitch_shift,-1.0,0.613044,0.808133,0.998693,0.697808,0.8258165783718432,0.8348779999999999
classical_07::pitch_shift::+1st,classical_07,classical,pitch_shift,1.0,0.608593,0.789392,0.979729,0.702007,0.8157931273339835,0.8237093333333333
classical_07::pitch_shift::+2st,classical_07,classical,pitch_shift,2.0,0.502196,0.669624,0.975705,0.631703,0.7445390719049116,0.7590106666666666
classical_07::pitch_shift::+4st,classical_07,classical,pitch_shift,4.0,0.74198,0.536072,0.967433,0.654416,0.6975349563322173,0.7193069999999999
classical_07::time_stretch::-20pct,classical_07,classical,time_stretch,-20.0,0.98842,0.817409,0.735008,0.739775,0.7631508236746074,0.764064
classical_07::time_stretch::-10pct,classical_07,classical,time_stretch,-10.0,0.999356,0.893115,0.779965,0.758826,0.8085525175302051,0.8106353333333334
classical_07::time_stretch::-5pct,classical_07,classical,time_stretch,-5.0,0.999388,0.928266,0.79643,0.742898,0.8189355944834693,0.8225313333333333
classical_07::time_stretch::+5pct,classical_07,classical,time_stretch,5.0,0.998837,0.893304,0.819091,0.742265,0.8158872351345378,0.81822
classical_07::time_stretch::+10pct,classical_07,classical,time_stretch,10.0,0.9976,0.865128,0.775159,0.709497,0.7806815370137457,0.7832613333333334
classical_07::time_stretch::+20pct,classical_07,classical,time_stretch,20.0,0.994553,0.84689,0.725658,0.726809,0.7644101227457659,0.7664523333333333
classical_07::lowpass::lp8000,classical_07,classical,lowpass,8000.0,1.0,0.887377,0.999931,0.73848,0.8685716424613107,0.8752626666666666
classical_07::lowpass::lp4000,classical_07,classical,lowpass,4000.0,0.999998,0.67577,0.999563,0.746205,0.7958338573243617,0.8071793333333332
classical_07::lowpass::lp2000,classical_07,classical,lowpass,2000.0,0.999805,0.529654,0.997893,0.685526,0.7129078352269407,0.737691
classical_07::distortion::drv4,classical_07,classical,distortion,4.0,0.999685,0.830664,0.999399,0.732884,0.847357179221311,0.8543156666666667
classical_07::distortion::drv12,classical_07,classical,distortion,12.0,0.997603,0.688581,0.997957,0.681682,0.7766336971640919,0.7894066666666666
classical_07::distortion::drv32,classical_07,classical,distortion,32.0,0.9914,0.60047,0.995059,0.579242,0.7021017632028274,0.7249236666666666
classical_07::style_swap::swap_cross,classical_07,classical,style_swap,nan,0.561467,0.441637,0.729005,0.65258,0.5944882006858998,0.6077406666666667
classical_07::style_swap::swap_same,classical_07,classical,style_swap,nan,0.900928,0.479528,0.776503,0.634711,0.6182693413945595,0.6302473333333334
classical_08::control::ctrl,classical_08,classical,control,0.0,1.0,1.0,1.0,0.850615,0.9474966409193019,0.950205
classical_08::pitch_shift::-4st,classical_08,classical,pitch_shift,-4.0,0.66046,0.515426,0.969699,0.704359,0.7060992974450987,0.7298279999999999
classical_08::pitch_shift::-2st,classical_08,classical,pitch_shift,-2.0,0.587729,0.626776,0.971708,0.705016,0.754424360336666,0.7678333333333334
classical_08::pitch_shift::-1st,classical_08,classical,pitch_shift,-1.0,0.622255,0.743194,0.973409,0.794787,0.8315392798507124,0.8371299999999999
classical_08::pitch_shift::+1st,classical_08,classical,pitch_shift,1.0,0.638413,0.712939,0.992423,0.807888,0.829914686782728,0.83775
classical_08::pitch_shift::+2st,classical_08,classical,pitch_shift,2.0,0.581312,0.619846,0.981159,0.766917,0.7755155669935759,0.7893073333333332
classical_08::pitch_shift::+4st,classical_08,classical,pitch_shift,4.0,0.646051,0.47619,0.978834,0.785706,0.715456327521745,0.74691
classical_08::time_stretch::-20pct,classical_08,classical,time_stretch,-20.0,0.993109,0.817406,0.907803,0.828568,0.8503267935238239,0.851259
classical_08::time_stretch::-10pct,classical_08,classical,time_stretch,-10.0,0.998668,0.874913,0.909187,0.829006,0.8704127691154059,0.8710353333333334
classical_08::time_stretch::-5pct,classical_08,classical,time_stretch,-5.0,0.998693,0.835193,0.933775,0.844979,0.8702118666604228,0.8713156666666666
classical_08::time_stretch::+5pct,classical_08,classical,time_stretch,5.0,0.998583,0.864724,0.94635,0.832922,0.8800578291252673,0.881332
classical_08::time_stretch::+10pct,classical_08,classical,time_stretch,10.0,0.998933,0.888601,0.931891,0.814033,0.8768082793877474,0.8781749999999999
classical_08::time_stretch::+20pct,classical_08,classical,time_stretch,20.0,0.997636,0.866634,0.908052,0.785418,0.8518224809112638,0.8533679999999999
classical_08::lowpass::lp8000,classical_08,classical,lowpass,8000.0,0.999998,0.958807,0.999964,0.852992,0.9351619755319839,0.9372543333333332
classical_08::lowpass::lp4000,classical_08,classical,lowpass,4000.0,0.999966,0.949258,0.999725,0.862291,0.9353472863233115,0.9370913333333333
classical_08::lowpass::lp2000,classical_08,classical,lowpass,2000.0,0.999991,0.464655,0.978765,0.809842,0.7168084462284378,0.7510873333333332
classical_08::distortion::drv4,classical_08,classical,distortion,4.0,0.99872,0.57373,0.982073,0.786626,0.7624415270605578,0.7808096666666666
classical_08::distortion::drv12,classical_08,classical,distortion,12.0,0.984657,0.414515,0.972302,0.548975,0.6048272259724701,0.645264
classical_08::distortion::drv32,classical_08,classical,distortion,32.0,0.967876,0.408195,0.979023,0.435135,0.558163625427413,0.607451
classical_08::style_swap::swap_cross,classical_08,classical,style_swap,nan,0.809106,0.416323,0.888808,0.604412,0.6070024992067752,0.6365143333333333
classical_08::style_swap::swap_same,classical_08,classical,style_swap,nan,0.809079,0.380344,0.901233,0.667203,0.6115386101386742,0.6495933333333332
classical_09::control::ctrl,classical_09,classical,control,0.0,1.0,1.0,1.0,0.779827,0.9204483479466142,0.926609
classical_09::pitch_shift::-4st,classical_09,classical,pitch_shift,-4.0,0.847713,0.620719,0.993877,0.656669,0.7399312985946807,0.7570883333333333
classical_09::pitch_shift::-2st,classical_09,classical,pitch_shift,-2.0,0.849058,0.72651,0.998212,0.696997,0.7965843391282322,0.8072396666666666
classical_09::pitch_shift::-1st,classical_09,classical,pitch_shift,-1.0,0.806724,0.815524,0.999183,0.706485,0.8318817103495237,0.8403973333333333
classical_09::pitch_shift::+1st,classical_09,classical,pitch_shift,1.0,0.798944,0.796562,0.998335,0.687986,0.8178842168275133,0.8276276666666665
classical_09::pitch_shift::+2st,classical_09,classical,pitch_shift,2.0,0.834423,0.709868,0.985911,0.690775,0.78484514169522,0.795518
classical_09::pitch_shift::+4st,classical_09,classical,pitch_shift,4.0,0.827298,0.589129,0.978968,0.649953,0.721030468003507,0.73935
classical_09::time_stretch::-20pct,classical_09,classical,time_stretch,-20.0,0.990638,0.873388,0.830196,0.755334,0.8181676375804651,0.8196393333333333
classical_09::time_stretch::-10pct,classical_09,classical,time_stretch,-10.0,0.995782,0.889421,0.863167,0.777369,0.84193095068549,0.8433189999999999
classical_09::time_stretch::-5pct,classical_09,classical,time_stretch,-5.0,0.99833,0.891746,0.810619,0.801823,0.8337685054475689,0.8347293333333332
classical_09::time_stretch::+5pct,classical_09,classical,time_stretch,5.0,0.999149,0.896342,0.883323,0.82479,0.8675853782655674,0.8681516666666667
classical_09::time_stretch::+10pct,classical_09,classical,time_stretch,10.0,0.998608,0.891156,0.860268,0.788904,0.8456757696337126,0.846776
classical_09::time_stretch::+20pct,classical_09,classical,time_stretch,20.0,0.995915,0.855669,0.832581,0.808019,0.8318620059879089,0.8320896666666666
classical_09::lowpass::lp8000,classical_09,classical,lowpass,8000.0,1.0,0.849612,0.999888,0.781847,0.8724982999036036,0.8771156666666666
classical_09::lowpass::lp4000,classical_09,classical,lowpass,4000.0,0.999999,0.586038,0.988682,0.815542,0.7788902108480603,0.796754
classical_09::lowpass::lp2000,classical_09,classical,lowpass,2000.0,0.99994,0.479378,0.987621,0.73121,0.7021612293682363,0.7327363333333333
classical_09::distortion::drv4,classical_09,classical,distortion,4.0,0.999633,0.807796,0.999539,0.695301,0.8249445647262061,0.834212
