pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_01::control::ctrl,classical_01,classical,control,control,0.0,1.000000,1.000000,1.000000,0.578814
classical_01::pitch_shift::-4st,classical_01,classical,H,pitch_shift,-4.0,0.864113,0.612303,0.992673,0.559612
classical_01::pitch_shift::-2st,classical_01,classical,H,pitch_shift,-2.0,0.824667,0.734894,0.995101,0.559299
classical_01::pitch_shift::-1st,classical_01,classical,H,pitch_shift,-1.0,0.787760,0.849246,0.996772,0.495191
classical_01::pitch_shift::+1st,classical_01,classical,H,pitch_shift,1.0,0.788619,0.819998,0.996755,0.574574
classical_01::pitch_shift::+2st,classical_01,classical,H,pitch_shift,2.0,0.842670,0.727144,0.983819,0.530071
classical_01::pitch_shift::+4st,classical_01,classical,H,pitch_shift,4.0,0.860251,0.637512,0.980056,0.508678
classical_01::time_stretch::-20pct,classical_01,classical,R,time_stretch,-20.0,0.996247,0.861653,0.914808,0.731792
classical_01::time_stretch::-10pct,classical_01,classical,R,time_stretch,-10.0,0.997108,0.898333,0.899642,0.655407
classical_01::time_stretch::-5pct,classical_01,classical,R,time_stretch,-5.0,0.998156,0.932403,0.907294,0.680930
classical_01::time_stretch::+5pct,classical_01,classical,R,time_stretch,5.0,0.997116,0.908869,0.932434,0.671446
classical_01::time_stretch::+10pct,classical_01,classical,R,time_stretch,10.0,0.995629,0.883222,0.913560,0.658604
classical_01::time_stretch::+20pct,classical_01,classical,R,time_stretch,20.0,0.993441,0.848716,0.887090,0.709911
classical_01::lowpass::lp8000,classical_01,classical,T,lowpass,8000.0,1.000000,0.818931,0.998947,0.585413
classical_01::lowpass::lp4000,classical_01,classical,T,lowpass,4000.0,0.999999,0.583820,0.984677,0.543984
classical_01::lowpass::lp2000,classical_01,classical,T,lowpass,2000.0,0.999966,0.484488,0.982548,0.485857
classical_01::distortion::drv4,classical_01,classical,T,distortion,4.0,0.999999,0.939767,0.999491,0.565272
classical_01::distortion::drv12,classical_01,classical,T,distortion,12.0,0.999808,0.741768,0.993548,0.493085
classical_01::distortion::drv32,classical_01,classical,T,distortion,32.0,0.997670,0.597949,0.984828,0.420831
classical_01::style_swap::swap_cross,classical_01,classical,S,style_swap,nan,0.756144,0.384217,0.934590,0.313967
classical_01::style_swap::swap_same,classical_01,classical,S,style_swap,nan,0.845911,0.516402,0.904931,0.404310
classical_02::control::ctrl,classical_02,classical,control,control,0.0,1.000000,1.000000,1.000000,0.513572
classical_02::pitch_shift::-4st,classical_02,classical,H,pitch_shift,-4.0,0.876858,0.519232,0.992366,0.473444
classical_02::pitch_shift::-2st,classical_02,classical,H,pitch_shift,-2.0,0.854270,0.672519,0.994177,0.417908
classical_02::pitch_shift::-1st,classical_02,classical,H,pitch_shift,-1.0,0.860895,0.783541,0.994913,0.453146
classical_02::pitch_shift::+1st,classical_02,classical,H,pitch_shift,1.0,0.855980,0.795642,0.993839,0.447709
