pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S,score_scs,score_clap_htsat,score_cbase
classical_02::distortion::drv12,classical_02,classical,T,distortion,12.0,0.999950,0.833633,0.998966,0.784493,0.996862,0.999045,0.997953
classical_02::distortion::drv32,classical_02,classical,T,distortion,32.0,0.992631,0.649915,0.994843,0.740942,0.973656,0.981712,0.977676
classical_02::style_swap::swap_cross,classical_02,classical,S,style_swap,nan,0.867470,0.357396,0.917488,0.496780,0.631919,0.725238,0.676973
classical_02::style_swap::swap_same,classical_02,classical,S,style_swap,nan,0.942536,0.471134,0.900222,0.693582,0.591006,0.775164,0.676851
classical_03::control::ctrl,classical_03,classical,control,control,0.0,1.000000,0.999997,1.000000,0.839157,1.000000,1.000000,1.000000
classical_03::pitch_shift::-4st,classical_03,classical,H,pitch_shift,-4.0,0.750486,0.581610,0.880385,0.793982,0.962773,0.958572,0.960670
classical_03::pitch_shift::-2st,classical_03,classical,H,pitch_shift,-2.0,0.784584,0.716112,0.874670,0.809610,0.971294,0.959425,0.965342
classical_03::pitch_shift::-1st,classical_03,classical,H,pitch_shift,-1.0,0.684936,0.823785,0.989732,0.797457,0.987128,0.961109,0.974031
classical_03::pitch_shift::+1st,classical_03,classical,H,pitch_shift,1.0,0.685355,0.815827,0.989258,0.832920,0.986195,0.976626,0.981399
classical_03::pitch_shift::+2st,classical_03,classical,H,pitch_shift,2.0,0.779941,0.714954,0.881136,0.801912,0.972331,0.967568,0.969947
classical_03::pitch_shift::+4st,classical_03,classical,H,pitch_shift,4.0,0.757959,0.595320,0.863607,0.780281,0.951699,0.965353,0.958502
classical_03::time_stretch::-20pct,classical_03,classical,R,time_stretch,-20.0,0.988867,0.715848,0.829220,0.826457,0.704364,0.977184,0.829634
classical_03::time_stretch::-10pct,classical_03,classical,R,time_stretch,-10.0,0.994111,0.825710,0.831412,0.821946,0.793352,0.978960,0.881283
classical_03::time_stretch::-5pct,classical_03,classical,R,time_stretch,-5.0,0.998174,0.900534,0.793413,0.829734,0.870910,0.986677,0.926988
classical_03::time_stretch::+5pct,classical_03,classical,R,time_stretch,5.0,0.997193,0.892898,0.775429,0.823327,0.869928,0.980086,0.923366
classical_03::time_stretch::+10pct,classical_03,classical,R,time_stretch,10.0,0.992930,0.888176,0.812694,0.828741,0.815210,0.973403,0.890802
classical_03::time_stretch::+20pct,classical_03,classical,R,time_stretch,20.0,0.983839,0.850548,0.766852,0.802008,0.748585,0.942475,0.839954
classical_03::lowpass::lp8000,classical_03,classical,T,lowpass,8000.0,1.000000,0.987020,0.999866,0.844438,0.999948,0.987889,0.993900
classical_03::lowpass::lp4000,classical_03,classical,T,lowpass,4000.0,1.000000,0.981225,0.999840,0.853351,0.999883,0.942816,0.970930
classical_03::lowpass::lp2000,classical_03,classical,T,lowpass,2000.0,1.000000,0.956241,0.999435,0.858405,0.999816,0.944188,0.971604
classical_03::distortion::drv4,classical_03,classical,T,distortion,4.0,1.000000,0.963296,0.998157,0.831880,0.999737,0.997629,0.998683
classical_03::distortion::drv12,classical_03,classical,T,distortion,12.0,0.999997,0.820762,0.992396,0.807928,0.992559,0.981464,0.986996
classical_03::distortion::drv32,classical_03,classical,T,distortion,32.0,0.999737,0.639981,0.892109,0.721117,0.966795,0.935761,0.951152
classical_03::style_swap::swap_cross,classical_03,classical,S,style_swap,nan,0.876702,0.363711,0.767462,0.589374,0.551276,0.673311,0.609245
classical_03::style_swap::swap_same,classical_03,classical,S,style_swap,nan,0.791802,0.405002,0.900865,0.664596,0.690430,0.730096,0.709986
classical_04::control::ctrl,classical_04,classical,control,control,0.0,1.000000,1.000000,1.000000,0.770551,1.000000,1.000000,1.000000
classical_04::pitch_shift::-4st,classical_04,classical,H,pitch_shift,-4.0,0.902721,0.521585,0.984788,0.643491,0.937700,0.979738,0.958489
classical_04::pitch_shift::-2st,classical_04,classical,H,pitch_shift,-2.0,0.902272,0.678855,0.987639,0.719199,0.960813,0.970022,0.965407
classical_04::pitch_shift::-1st,classical_04,classical,H,pitch_shift,-1.0,0.881021,0.787717,0.988960,0.776390,0.970582,0.978080,0.974324
classical_04::pitch_shift::+1st,classical_04,classical,H,pitch_shift,1.0,0.878067,0.802675,0.986214,0.744842,0.966653,0.979055,0.972834
classical_04::pitch_shift::+2st,classical_04,classical,H,pitch_shift,2.0,0.905087,0.681803,0.982374,0.791483,0.960383,0.985518,0.972869
classical_04::pitch_shift::+4st,classical_04,classical,H,pitch_shift,4.0,0.908763,0.550489,0.974613,0.721649,0.931822,0.971717,0.951561
classical_04::time_stretch::-20pct,classical_04,classical,R,time_stretch,-20.0,0.998906,0.885519,0.682633,0.767258,0.703808,0.988123,0.833936
