pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_03::pitch_shift::-1st,classical_03,classical,pitch_shift,-1.0,0.697189,0.819816,0.924334,0.797457,0.808410504568963,0.8137796666666666
classical_03::pitch_shift::+1st,classical_03,classical,pitch_shift,1.0,0.685872,0.811784,0.988392,0.83292,0.8194785572321245,0.8286826666666667
classical_03::pitch_shift::+2st,classical_03,classical,pitch_shift,2.0,0.784037,0.713773,0.879468,0.801912,0.7895365483412161,0.792426
classical_03::pitch_shift::+4st,classical_03,classical,pitch_shift,4.0,0.755407,0.595073,0.862042,0.780281,0.7290543274185144,0.7375073333333333
classical_03::time_stretch::-20pct,classical_03,classical,time_stretch,-20.0,0.988873,0.715888,0.829531,0.826457,0.8374124385726882,0.8447639999999998
classical_03::time_stretch::-10pct,classical_03,classical,time_stretch,-10.0,0.994096,0.828248,0.830914,0.821946,0.8811467955906805,0.8844193333333332
classical_03::time_stretch::-5pct,classical_03,classical,time_stretch,-5.0,0.998272,0.902038,0.858321,0.829734,0.9177149794230122,0.9195436666666666
classical_03::time_stretch::+5pct,classical_03,classical,time_stretch,5.0,0.997052,0.887516,0.796007,0.823327,0.8897547100618397,0.8935249999999999
classical_03::time_stretch::+10pct,classical_03,classical,time_stretch,10.0,0.995176,0.89404,0.781351,0.828741,0.8858652625579813,0.8901889999999999
classical_03::time_stretch::+20pct,classical_03,classical,time_stretch,20.0,0.986146,0.849383,0.769112,0.802008,0.8636639452936259,0.8682136666666667
classical_03::lowpass::lp8000,classical_03,classical,lowpass,8000.0,1.0,0.98702,0.999866,0.844438,0.9956100025639686,0.9956286666666667
classical_03::lowpass::lp4000,classical_03,classical,lowpass,4000.0,1.0,0.981225,0.99984,0.853351,0.9936490859434672,0.9936883333333333
classical_03::lowpass::lp2000,classical_03,classical,lowpass,2000.0,1.0,0.956241,0.999435,0.858405,0.9850099971792334,0.9852253333333333
classical_03::distortion::drv4,classical_03,classical,distortion,4.0,1.0,0.963298,0.998158,0.83188,0.9870064335043317,0.9871519999999999
classical_03::distortion::drv12,classical_03,classical,distortion,12.0,0.999997,0.820762,0.992398,0.807928,0.9339004962678471,0.937719
classical_03::distortion::drv32,classical_03,classical,distortion,32.0,0.999737,0.639981,0.892112,0.721117,0.8295146792796305,0.8439433333333333
classical_03::style_swap::swap_cross,classical_03,classical,style_swap,nan,0.876701,0.36371,0.767467,0.589374,0.625492564540468,0.6692926666666665
classical_03::style_swap::swap_same,classical_03,classical,style_swap,nan,0.791802,0.405002,0.900867,0.664596,0.6610659885704822,0.6992236666666667
classical_04::control::ctrl,classical_04,classical,control,0.0,1.0,1.0,1.0,0.770551,1.0,1.0
classical_04::pitch_shift::-4st,classical_04,classical,pitch_shift,-4.0,0.901489,0.521403,0.984482,0.643491,0.7734767180999297,0.8024579999999999
classical_04::pitch_shift::-2st,classical_04,classical,pitch_shift,-2.0,0.902143,0.678577,0.987468,0.719199,0.8455368050551331,0.8560626666666666
classical_04::pitch_shift::-1st,classical_04,classical,pitch_shift,-1.0,0.887219,0.788843,0.989224,0.77639,0.8846510923044821,0.8884286666666665
classical_04::pitch_shift::+1st,classical_04,classical,pitch_shift,1.0,0.877595,0.80129,0.986898,0.744842,0.8853575815930612,0.8885943333333333
classical_04::pitch_shift::+2st,classical_04,classical,pitch_shift,2.0,0.905721,0.680111,0.982468,0.791483,0.845858173266729,0.8561
classical_04::pitch_shift::+4st,classical_04,classical,pitch_shift,4.0,0.908542,0.550581,0.97458,0.721649,0.7870359574945631,0.8112343333333333
classical_04::time_stretch::-20pct,classical_04,classical,time_stretch,-20.0,0.99867,0.886804,0.68228,0.767258,0.8454165836568885,0.855918
classical_04::time_stretch::-10pct,classical_04,classical,time_stretch,-10.0,0.999432,0.906711,0.743844,0.772562,0.8768015989752828,0.8833289999999999
classical_04::time_stretch::-5pct,classical_04,classical,time_stretch,-5.0,0.999685,0.907272,0.799026,0.776949,0.8982292603040408,0.9019943333333333
classical_04::time_stretch::+5pct,classical_04,classical,time_stretch,5.0,0.999197,0.887242,0.829843,0.784653,0.9027407550043167,0.9054273333333333
classical_04::time_stretch::+10pct,classical_04,classical,time_stretch,10.0,0.99876,0.879805,0.671739,0.792519,0.8388469116751157,0.8501013333333333
classical_04::time_stretch::+20pct,classical_04,classical,time_stretch,20.0,0.997952,0.873481,0.675817,0.753843,0.8382960295773867,0.8490833333333333
classical_04::lowpass::lp8000,classical_04,classical,lowpass,8000.0,0.999962,0.494824,0.956801,0.78058,0.7793848464500082,0.8171956666666667
classical_04::lowpass::lp4000,classical_04,classical,lowpass,4000.0,0.999988,0.451422,0.946613,0.694652,0.7532110067823711,0.799341
classical_04::lowpass::lp2000,classical_04,classical,lowpass,2000.0,0.999784,0.424381,0.776986,0.695091,0.6908097140224643,0.733717
classical_04::distortion::drv4,classical_04,classical,distortion,4.0,0.998683,0.915623,0.998689,0.760515,0.9701931537479027,0.9709983333333333
classical_04::distortion::drv12,classical_04,classical,distortion,12.0,0.999733,0.727059,0.99052,0.740661,0.8962702420410312,0.9057706666666666
classical_04::distortion::drv32,classical_04,classical,distortion,32.0,0.997847,0.596923,0.933518,0.657715,0.8223088956707867,0.8427626666666665
classical_04::style_swap::swap_cross,classical_04,classical,style_swap,nan,0.718854,0.437217,0.680686,0.598123,0.5980830815206984,0.6122523333333334
classical_04::style_swap::swap_same,classical_04,classical,style_swap,nan,0.865958,0.423247,0.690671,0.636853,0.6325875585099129,0.6599586666666666
classical_05::control::ctrl,classical_05,classical,control,0.0,1.0,1.0,1.0,0.863103,1.0,1.0
classical_05::pitch_shift::-4st,classical_05,classical,pitch_shift,-4.0,0.821281,0.543714,0.987096,0.696754,0.7610395515405798,0.7840303333333334
classical_05::pitch_shift::-2st,classical_05,classical,pitch_shift,-2.0,0.930625,0.682357,0.991845,0.812404,0.8571892676411644,0.8682756666666667
classical_05::pitch_shift::-1st,classical_05,classical,pitch_shift,-1.0,0.779984,0.785097,0.99359,0.655161,0.8473680298448533,0.8528903333333333
classical_05::pitch_shift::+1st,classical_05,classical,pitch_shift,1.0,0.784711,0.799547,0.991536,0.781985,0.8536648676368803,0.858598
classical_05::pitch_shift::+2st,classical_05,classical,pitch_shift,2.0,0.917062,0.677257,0.987259,0.756069,0.849560739042351,0.8605259999999999
classical_05::pitch_shift::+4st,classical_05,classical,pitch_shift,4.0,0.813794,0.55841,0.972983,0.606838,0.7618292461857162,0.781729
classical_05::time_stretch::-20pct,classical_05,classical,time_stretch,-20.0,0.994883,0.833714,0.518475,0.848184,0.7548123109407207,0.7823573333333333
classical_05::time_stretch::-10pct,classical_05,classical,time_stretch,-10.0,0.997262,0.893617,0.612751,0.847492,0.8173628735960698,0.8345433333333333
classical_05::time_stretch::-5pct,classical_05,classical,time_stretch,-5.0,0.998358,0.917155,0.69714,0.86115,0.8610261618763453,0.8708843333333333
classical_05::time_stretch::+5pct,classical_05,classical,time_stretch,5.0,0.997766,0.918096,0.699806,0.870052,0.8622465908202624,0.8718893333333333
classical_05::time_stretch::+10pct,classical_05,classical,time_stretch,10.0,0.997508,0.900887,0.634461,0.846979,0.8292087564480604,0.8442853333333332
classical_05::time_stretch::+20pct,classical_05,classical,time_stretch,20.0,0.99558,0.881636,0.540175,0.863696,0.7797702345102904,0.8057969999999999
classical_05::lowpass::lp8000,classical_05,classical,lowpass,8000.0,0.999994,0.555207,0.997365,0.864897,0.8211745546831355,0.8508553333333333
classical_05::lowpass::lp4000,classical_05,classical,lowpass,4000.0,0.999994,0.424309,0.988053,0.801758,0.7484336286597303,0.8041186666666666
classical_05::lowpass::lp2000,classical_05,classical,lowpass,2000.0,0.999981,0.420024,0.975184,0.811394,0.7426499235116456,0.7983963333333333
classical_05::distortion::drv4,classical_05,classical,distortion,4.0,0.999044,0.611597,0.988816,0.759743,0.8453861902228407,0.8664856666666666
classical_05::distortion::drv12,classical_05,classical,distortion,12.0,0.995044,0.453771,0.9635,0.639261,0.7577226110723716,0.804105
classical_05::distortion::drv32,classical_05,classical,distortion,32.0,0.992742,0.462087,0.937098,0.596926,0.7547128060112095,0.7973089999999999
classical_05::style_swap::swap_cross,classical_05,classical,style_swap,nan,0.834885,0.443612,0.69714,0.592101,0.6367710570693991,0.6585456666666666
classical_05::style_swap::swap_same,classical_05,classical,style_swap,nan,0.942535,0.470888,0.63049,0.628517,0.6540803528029614,0.6813043333333333
classical_06::control::ctrl,classical_06,classical,control,0.0,1.0,1.0,1.0,0.683052,1.0,1.0
classical_06::pitch_shift::-4st,classical_06,classical,pitch_shift,-4.0,0.733397,0.711626,0.939725,0.669314,0.7886129522137503,0.794916
classical_06::pitch_shift::-2st,classical_06,classical,pitch_shift,-2.0,0.823548,0.805637,0.991601,0.685565,0.8697379601632836,0.8735953333333333
classical_06::pitch_shift::-1st,classical_06,classical,pitch_shift,-1.0,0.731105,0.846515,0.925951,0.715078,0.8306169814070742,0.8345236666666667
classical_06::pitch_shift::+1st,classical_06,classical,pitch_shift,1.0,0.770905,0.868857,0.992582,0.738644,0.8727808071561507,0.8774479999999999
classical_06::pitch_shift::+2st,classical_06,classical,pitch_shift,2.0,0.851748,0.789879,0.964994,0.662846,0.8658954037995583,0.8688736666666665
classical_06::pitch_shift::+4st,classical_06,classical,pitch_shift,4.0,0.755599,0.653797,0.962346,0.723759,0.7804681436032808,0.7905806666666666
classical_06::time_stretch::-20pct,classical_06,classical,time_stretch,-20.0,0.988113,0.686575,0.852273,0.652644,0.8330884427153804,0.8423203333333333
classical_06::time_stretch::-10pct,classical_06,classical,time_stretch,-10.0,0.993382,0.845399,0.902407,0.689541,0.9117172192013713,0.9137293333333333
classical_06::time_stretch::-5pct,classical_06,classical,time_stretch,-5.0,0.998471,0.87979,0.930706,0.724054,0.9350661384933581,0.9363223333333333
classical_06::time_stretch::+5pct,classical_06,classical,time_stretch,5.0,0.996704,0.870391,0.930276,0.695743,0.931030989056999,0.932457
classical_06::time_stretch::+10pct,classical_06,classical,time_stretch,10.0,0.991961,0.896454,0.864233,0.689626,0.915976821653291,0.9175493333333333
classical_06::time_stretch::+20pct,classical_06,classical,time_stretch,20.0,0.98738,0.842828,0.910583,0.667647,0.9116908715940912,0.913597
classical_06::lowpass::lp8000,classical_06,classical,lowpass,8000.0,0.999344,0.847287,0.999466,0.695906,0.9458839559848724,0.948699
classical_06::lowpass::lp4000,classical_06,classical,lowpass,4000.0,0.998589,0.628359,0.997548,0.649627,0.8554135788126095,0.8748319999999999
classical_06::lowpass::lp2000,classical_06,classical,lowpass,2000.0,0.99923,0.529815,0.993118,0.605904,0.8071052814657554,0.8407209999999999
classical_06::distortion::drv4,classical_06,classical,distortion,4.0,0.999532,0.849352,0.985212,0.68082,0.9421890149174024,0.9446986666666666
classical_06::distortion::drv12,classical_06,classical,distortion,12.0,0.994831,0.64884,0.949693,0.540312,0.8494869681485172,0.8644546666666666
classical_06::distortion::drv32,classical_06,classical,distortion,32.0,0.989607,0.587683,0.942812,0.44367,0.8184842549635505,0.840034
classical_06::style_swap::swap_cross,classical_06,classical,style_swap,nan,0.860518,0.472724,0.758397,0.549085,0.6757012761138919,0.697213
classical_06::style_swap::swap_same,classical_06,classical,style_swap,nan,0.818979,0.522514,0.856777,0.706083,0.7157249642197292,0.7327566666666667
classical_07::control::ctrl,classical_07,classical,control,0.0,1.0,1.0,1.0,0.726878,1.0,1.0
classical_07::pitch_shift::-4st,classical_07,classical,pitch_shift,-4.0,0.757175,0.546959,0.992101,0.634361,0.7434223991676238,0.7654116666666666
classical_07::pitch_shift::-2st,classical_07,classical,pitch_shift,-2.0,0.520225,0.674968,0.997295,0.662274,0.7048542911041735,0.7308293333333333
classical_07::pitch_shift::-1st,classical_07,classical,pitch_shift,-1.0,0.613044,0.808133,0.998693,0.697808,0.7909253545441831,0.8066233333333332
classical_07::pitch_shift::+1st,classical_07,classical,pitch_shift,1.0,0.608593,0.789392,0.979729,0.702007,0.7778727282531084,0.7925713333333333
classical_07::pitch_shift::+2st,classical_07,classical,pitch_shift,2.0,0.502196,0.669624,0.975705,0.631703,0.6897222932757685,0.7158416666666666
classical_07::pitch_shift::+4st,classical_07,classical,pitch_shift,4.0,0.74198,0.536072,0.967433,0.654416,0.7273532886563486,0.7484949999999999
