pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
electronic_15::shuffle::shuf_bar,1.000000,0.999849,0.971790,0.003938,0.428571,0.533369,1.000000,1.000000,0.387265,0.312500,0.937449,0.999994,0.697445,0.643228
electronic_15::reverse::rev,1.000000,0.999997,0.950149,0.046136,0.307692,0.486706,0.931325,0.291131,0.340645,0.250000,0.838231,0.999998,0.594091,0.529181
electronic_15::displacement::disp_far,1.000000,0.981883,0.941345,1.000000,0.307692,0.440043,1.000000,1.000000,0.342152,0.062500,0.696939,0.995555,0.707510,0.681405
folk_01::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_01::shuffle::shuf_beat,1.000000,0.999789,0.931762,0.504800,0.615385,0.491282,0.973020,0.636801,0.332596,0.066667,0.815415,0.999979,0.674188,0.627600
electronic_15::displacement::disp_near,1.000000,0.975620,0.956809,0.018090,0.307692,0.533369,0.729904,0.000000,0.338296,0.062500,0.692101,0.996910,0.501593,0.434207
folk_01::shuffle::shuf_bar,1.000000,0.999740,0.936046,1.000000,0.666667,0.449804,0.973020,0.636801,0.419205,0.400000,0.905838,0.999990,0.761624,0.723424
folk_01::reverse::rev,1.000000,0.999576,0.896456,1.000000,0.714286,0.532761,1.000000,1.000000,0.328546,0.133333,0.789133,0.999990,0.760587,0.733917
folk_01::displacement::disp_near,1.000000,0.993922,0.952108,1.000000,0.571429,0.605551,0.971484,0.635106,0.454210,0.266667,0.717116,0.998415,0.743486,0.721316
folk_01::displacement::disp_far,1.000000,0.990639,0.927890,0.504800,0.000000,0.532761,0.638011,0.076826,0.386305,0.066667,0.717244,0.998577,0.513770,0.445575
