key,id,ref,est,degraded_metrics,dim_target,genre,harmony_tonality.chroma_similarity.chroma_dtw_cosine,harmony_tonality.chroma_similarity.mean_chroma_cosine,harmony_tonality.key_relatedness.distance_norm_0to1,magnitude,melodic_content.contour_dtw_similarity,melodic_content.motif_3gram_recall,perturbation,rhythm_meter.beat_mir_eval.F-measure,rhythm_meter.beat_mir_eval.Information gain,rhythm_meter.delta_bpm_folded,source_id,structural_form.ari,structural_form.pairwise_f,timbre_texture.mean_mfcc_cosine,timbre_texture.mfcc_skl_similarity
classical_04::shuffle::shuf_bar,classical_04::shuffle::shuf_bar,perturbations_temporal/audio/classical_04__A.wav,perturbations_temporal/audio/classical_04__shuffle__shuf_bar.wav,,S,classical,0.9155796266945226,0.9939618649712813,0.6666666666666666,,0.48285032183614995,0.2857142857142857,shuffle,0.0,0.6266951775221132,0.0,classical_04,0.0,0.8401541567260047,0.9999835300969021,0.9310313561877743
classical_04::shuffle::shuf_beat,classical_04::shuffle::shuf_beat,perturbations_temporal/audio/classical_04__A.wav,perturbations_temporal/audio/classical_04__shuffle__shuf_beat.wav,,S,classical,0.8941671307703898,0.9988359160179809,0.0,,0.3977999260548839,0.14285714285714285,shuffle,0.0,0.6419454571041096,0.0,classical_04,0.0,0.8875198028516107,0.999972520936878,0.8529721074286835
classical_04::control::ctrl,classical_04::control::ctrl,perturbations_temporal/audio/classical_04__A.wav,perturbations_temporal/audio/classical_04__control__ctrl.wav,,control,classical,1.0,0.9999999765828969,0.0,0.0,1.0,1.0,control,1.0,1.0,0.0,classical_04,1.0,1.0,0.9999999998125529,1.0
classical_04::reverse::rev,classical_04::reverse::rev,perturbations_temporal/audio/classical_04__A.wav,perturbations_temporal/audio/classical_04__reverse__rev.wav,,S,classical,0.880687937822818,0.9999748898749522,0.0,,0.30909102157189483,0.2857142857142857,reverse,0.36363636363636365,0.5826589553024,0.0,classical_04,0.0,0.924438393464942,0.9999955901059087,0.8202844826620042
classical_04::displacement::disp_near,classical_04::displacement::disp_near,perturbations_temporal/audio/classical_04__A.wav,perturbations_temporal/audio/classical_04__displacement__disp_near.wav,,S,classical,0.8736595604124541,0.9696436875588923,0.0,2.0,0.3293709443414057,0.07142857142857142,displacement,0.0,0.6733582803318491,0.0,classical_04,0.0,0.7959611354543722,0.9956572095005594,0.6525238999090208
classical_04::displacement::disp_far,classical_04::displacement::disp_far,perturbations_temporal/audio/classical_04__A.wav,perturbations_temporal/audio/classical_04__displacement__disp_far.wav,,S,classical,0.8302202680668894,0.9637094284179545,0.0,7.5,0.3161997268096327,0.0,displacement,0.36363636363636365,0.6266951775221132,0.0,classical_04,0.0,0.924438393464942,0.9934122995804918,0.6601765322445712
classical_05::control::ctrl,classical_05::control::ctrl,perturbations_temporal/audio/classical_05__A.wav,perturbations_temporal/audio/classical_05__control__ctrl.wav,,control,classical,1.0,0.9999999778806888,0.0,0.0,1.0,1.0,control,1.0,1.0,0.0,classical_05,1.0,1.0,0.999999999889334,1.0
classical_05::shuffle::shuf_beat,classical_05::shuffle::shuf_beat,perturbations_temporal/audio/classical_05__A.wav,perturbations_temporal/audio/classical_05__shuffle__shuf_beat.wav,,S,classical,0.9268207874862989,0.9995029977420778,0.0,,0.36502117759546915,0.0,shuffle,0.0,0.5175105162781474,5.593039772727266,classical_05,1.0,1.0,0.9999933858171733,0.7496150032067062
classical_05::shuffle::shuf_bar,classical_05::shuffle::shuf_bar,perturbations_temporal/audio/classical_05__A.wav,perturbations_temporal/audio/classical_05__shuffle__shuf_bar.wav,,S,classical,0.9970645683583406,0.9998801742716162,0.0,,0.8372123579327427,0.5833333333333334,shuffle,1.0,0.7663803979300717,5.593039772727266,classical_05,0.4527686602156952,0.9461400359066426,0.9999988373077697,0.9557836227309061
classical_05::reverse::rev,classical_05::reverse::rev,perturbations_temporal/audio/classical_05__A.wav,perturbations_temporal/audio/classical_05__reverse__rev.wav,,S,classical,0.8696567008119063,0.9999848687379738,0.0,,0.3508078656551433,0.16666666666666666,reverse,0.7692307692307692,0.7663803979300717,5.593039772727266,classical_05,0.4527686602156952,0.9461400359066426,0.9999990000249606,0.6851559975003898
