pair_id,source_id,genre,perturbation,magnitude,magnitude_unit,tunejury_a,tunejury_b,tunejury_cat,tunejury_rel,songeval_coherence_a,songeval_coherence_b,songeval_coherence_cat,songeval_coherence_rel,songeval_musicality_a,songeval_musicality_b,songeval_musicality_cat,songeval_musicality_rel,songeval_memorability_a,songeval_memorability_b,songeval_memorability_cat,songeval_memorability_rel,songeval_clarity_a,songeval_clarity_b,songeval_clarity_cat,songeval_clarity_rel,songeval_naturalness_a,songeval_naturalness_b,songeval_naturalness_cat,songeval_naturalness_rel
s01::cand00,s01,s01,ace_inpaint_candidate,0.0,candidate_index,-0.6323737502098083,-1.229198694229126,-0.8351108431816101,0.09567537903785706,2.3559346199035645,2.2105259895324707,2.2131452560424805,-0.07008504867553711,2.490054130554199,2.364920139312744,2.2199864387512207,-0.20750069618225098,2.526160955429077,2.3555374145507812,2.297419309616089,-0.14342987537384033,2.2542452812194824,2.181323766708374,2.094137668609619,-0.12364685535430908,2.1628365516662598,2.089937925338745,1.9756065607070923,-0.15078067779541016
s01::cand01,s01,s01,ace_inpaint_candidate,1.0,candidate_index,-0.6323737502098083,-0.6107328534126282,-0.607032835483551,0.014520466327667236,2.3559346199035645,2.5715839862823486,2.3242881298065186,-0.139471173286438,2.490054130554199,2.7292580604553223,2.3932018280029297,-0.21645426750183105,2.526160955429077,2.8099777698516846,2.424513578414917,-0.24355578422546387,2.2542452812194824,2.6408193111419678,2.260185718536377,-0.18734657764434814,2.1628365516662598,2.6111419200897217,2.120147705078125,-0.2668415307998657
s01::cand02,s01,s01,ace_inpaint_candidate,2.0,candidate_index,-0.6323737502098083,-0.2360927164554596,-0.6685718894004822,-0.2343386560678482,2.3559346199035645,2.585033893585205,2.305044412612915,-0.16543984413146973,2.490054130554199,2.6299874782562256,2.245760917663574,-0.3142598867416382,2.526160955429077,2.7546563148498535,2.405263900756836,-0.2351447343826294,2.2542452812194824,2.3751227855682373,2.0753865242004395,-0.2392975091934204,2.1628365516662598,2.4639899730682373,2.0883371829986572,-0.2250760793685913
s01::cand03,s01,s01,ace_inpaint_candidate,3.0,candidate_index,-0.6323737502098083,-0.3101218342781067,-0.6378145813941956,-0.16656678915023804,2.3559346199035645,2.5597872734069824,2.284111499786377,-0.17374944686889648,2.490054130554199,2.6985251903533936,2.2978968620300293,-0.2963927984237671,2.526160955429077,2.7490780353546143,2.2970330715179443,-0.34058642387390137,2.2542452812194824,2.4952540397644043,2.079035758972168,-0.2957139015197754,2.1628365516662598,2.3211305141448975,2.0451340675354004,-0.19684946537017822
s01::cand04,s01,s01,ace_inpaint_candidate,4.0,candidate_index,-0.6323737502098083,-0.2460159957408905,-0.27916237711906433,0.1600324958562851,2.3559346199035645,2.4597270488739014,2.3061490058898926,-0.10168182849884033,2.490054130554199,2.494455575942993,2.254558563232422,-0.23769629001617432,2.526160955429077,2.468906879425049,2.2587244510650635,-0.2388094663619995,2.2542452812194824,2.4104738235473633,2.1273069381713867,-0.20505261421203613,2.1628365516662598,2.1024723052978516,1.993567705154419,-0.13908672332763672
s01::cand05,s01,s01,ace_inpaint_candidate,5.0,candidate_index,-0.6323737502098083,-0.5661903619766235,-0.7561075687408447,-0.15682551264762878,2.3559346199035645,2.409823417663574,2.2382090091705322,-0.1446700096130371,2.490054130554199,2.500875234603882,2.1975061893463135,-0.29795849323272705,2.526160955429077,2.5331408977508545,2.3345086574554443,-0.19514226913452148,2.2542452812194824,2.332334280014038,2.0671403408050537,-0.22614943981170654,2.1628365516662598,2.243889093399048,2.0373435020446777,-0.16601932048797607
s01::cand06,s01,s01,ace_inpaint_candidate,6.0,candidate_index,-0.6323737502098083,-0.6589576601982117,-0.6138588786125183,0.0318068265914917,2.3559346199035645,2.650834083557129,2.3579444885253906,-0.14543986320495605,2.490054130554199,2.7342851161956787,2.324014186859131,-0.2881554365158081,2.526160955429077,2.7402820587158203,2.3857061862945557,-0.24751532077789307,2.2542452812194824,2.560699701309204,2.1727895736694336,-0.23468291759490967,2.1628365516662598,2.410090923309326,2.0878193378448486,-0.19864439964294434
s01::cand07,s01,s01,ace_inpaint_candidate,7.0,candidate_index,-0.6323737502098083,-0.9625204205513,-0.8355793952941895,-0.038132309913635254,2.3559346199035645,2.190249443054199,2.118532657623291,-0.15455937385559082,2.490054130554199,2.4080536365509033,2.1850645542144775,-0.26398932933807373,2.526160955429077,2.475456714630127,2.2513082027435303,-0.24950063228607178,2.2542452812194824,2.1975340843200684,1.9935059547424316,-0.23238372802734375,2.1628365516662598,2.206303119659424,2.0320658683776855,-0.15250396728515625
s02::cand00,s02,s02,ace_inpaint_candidate,0.0,candidate_index,1.4423505067825317,1.2021727561950684,1.3367446660995483,0.014483034610748291,2.9727325439453125,2.7437143325805664,2.7271206378936768,-0.1311028003692627,2.899042844772339,2.5557780265808105,2.6173043251037598,-0.11010611057281494,2.648813247680664,2.427534580230713,2.4178202152252197,-0.12035369873046875,2.904447317123413,2.4714438915252686,2.369645833969116,-0.3182997703552246,2.5041303634643555,2.431035041809082,2.2937960624694824,-0.17378664016723633
s02::cand01,s02,s02,ace_inpaint_candidate,1.0,candidate_index,1.4423505067825317,1.140138864517212,1.6950416564941406,0.4037969708442688,2.9727325439453125,2.724273681640625,2.702009439468384,-0.14649367332458496,2.899042844772339,2.741840362548828,2.652287721633911,-0.16815388202667236,2.648813247680664,2.5698907375335693,2.487273931503296,-0.1220780611038208,2.904447317123413,2.626394271850586,2.46635103225708,-0.29906976222991943,2.5041303634643555,2.544053077697754,2.341808557510376,-0.1822831630706787
s02::cand02,s02,s02,ace_inpaint_candidate,2.0,candidate_index,1.4423505067825317,1.308297872543335,1.4888083934783936,0.1134842038154602,2.9727325439453125,2.8813939094543457,2.788435935974121,-0.138627290725708,2.899042844772339,2.8201706409454346,2.7888195514678955,-0.07078719139099121,2.648813247680664,2.795300245285034,2.6574649810791016,-0.06459176540374756,2.904447317123413,2.833395481109619,2.6097676753997803,-0.25915372371673584,2.5041303634643555,2.590536117553711,2.451505184173584,-0.09582805633544922
s02::cand03,s02,s02,ace_inpaint_candidate,3.0,candidate_index,1.4423505067825317,0.8547577261924744,1.225191593170166,0.07663747668266296,2.9727325439453125,2.900831699371338,2.9110124111175537,-0.025769710540771484,2.899042844772339,2.8423781394958496,2.8394551277160645,-0.031255364418029785,2.648813247680664,2.644786834716797,2.6420364379882812,-0.004763603210449219,2.904447317123413,2.6740760803222656,2.550481081008911,-0.23878061771392822,2.5041303634643555,2.571154832839966,2.448309898376465,-0.0893326997756958
s02::cand04,s02,s02,ace_inpaint_candidate,4.0,candidate_index,1.4423505067825317,0.8799576163291931,1.3716988563537598,0.21054479479789734,2.9727325439453125,2.9344828128814697,2.7487986087799072,-0.2048090696334839,2.899042844772339,2.756389856338501,2.6101269721984863,-0.2175893783569336,2.648813247680664,2.840911626815796,2.591085433959961,-0.15377700328826904,2.904447317123413,2.8084423542022705,2.486765146255493,-0.36967968940734863,2.5041303634643555,2.653066873550415,2.378112316131592,-0.20048630237579346
s02::cand05,s02,s02,ace_inpaint_candidate,5.0,candidate_index,1.4423505067825317,1.3609591722488403,1.615229845046997,0.21357500553131104,2.9727325439453125,2.8482613563537598,2.8074584007263184,-0.10303854942321777,2.899042844772339,2.9405884742736816,2.755988359451294,-0.1638273000717163,2.648813247680664,2.709181308746338,2.6131365299224854,-0.06586074829101562,2.904447317123413,2.8808672428131104,2.5567843914031982,-0.3358728885650635,2.5041303634643555,2.5676794052124023,2.425889492034912,-0.1100153923034668
s02::cand06,s02,s02,ace_inpaint_candidate,6.0,candidate_index,1.4423505067825317,1.253539800643921,1.524727702140808,0.1767825484275818,2.9727325439453125,3.0246880054473877,2.8340039253234863,-0.16470634937286377,2.899042844772339,2.998398780822754,2.78700852394104,-0.16171228885650635,2.648813247680664,2.8523945808410645,2.6916496753692627,-0.05895423889160156,2.904447317123413,2.891415596008301,2.6135997772216797,-0.28433167934417725,2.5041303634643555,2.783195972442627,2.48189115524292,-0.1617720127105713
s02::cand07,s02,s02,ace_inpaint_candidate,7.0,candidate_index,1.4423505067825317,1.0894546508789062,1.4839518070220947,0.21804922819137573,2.9727325439453125,2.878178358078003,2.798563003540039,-0.12689244747161865,2.899042844772339,2.9559431076049805,2.8072125911712646,-0.12028038501739502,2.648813247680664,2.7691612243652344,2.6275486946105957,-0.08143854141235352,2.904447317123413,2.758201837539673,2.550182819366455,-0.2811417579650879,2.5041303634643555,2.560297727584839,2.4445583820343018,-0.08765566349029541
s03::cand00,s03,s03,ace_inpaint_candidate,0.0,candidate_index,1.6147878170013428,1.4136619567871094,1.6588443517684937,0.14461946487426758,2.6908340454101562,2.356562852859497,2.2136993408203125,-0.30999910831451416,2.513010025024414,2.256622076034546,2.1261091232299805,-0.2587069272994995,2.51290225982666,2.1923365592956543,2.173203706741333,-0.17941570281982422,2.5081140995025635,2.107268810272217,2.0247304439544678,-0.28296101093292236,2.5014069080352783,2.127988576889038,2.131721258163452,-0.18297648429870605
s03::cand01,s03,s03,ace_inpaint_candidate,1.0,candidate_index,1.6147878170013428,0.154974102973938,1.1357083320617676,0.2508273720741272,2.6908340454101562,2.3820364475250244,2.316783905029297,-0.21965134143829346,2.513010025024414,2.3115291595458984,2.1757328510284424,-0.23653674125671387,2.51290225982666,2.1510815620422363,2.1727142333984375,-0.15927767753601074,2.5081140995025635,2.250746011734009,2.1059820652008057,-0.27344799041748047,2.5014069080352783,2.3128697872161865,2.251725196838379,-0.15541315078735352
s03::cand02,s03,s03,ace_inpaint_candidate,2.0,candidate_index,1.6147878170013428,0.8127393126487732,1.3632019758224487,0.14943841099739075,2.6908340454101562,2.4334280490875244,2.4040374755859375,-0.15809357166290283,2.513010025024414,2.4343748092651367,2.262948751449585,-0.21074366569519043,2.51290225982666,2.263218879699707,2.3257217407226562,-0.062338829040527344,2.5081140995025635,2.2602877616882324,2.2653820514678955,-0.11881887912750244,2.5014069080352783,2.268232583999634,2.2763752937316895,-0.1084444522857666
s03::cand03,s03,s03,ace_inpaint_candidate,3.0,candidate_index,1.6147878170013428,1.1864489316940308,1.5768306255340576,0.17621225118637085,2.6908340454101562,2.3675293922424316,2.2396888732910156,-0.2894928455352783,2.513010025024414,2.2963500022888184,2.1351053714752197,-0.2695746421813965,2.51290225982666,2.2052550315856934,2.131261110305786,-0.22781753540039062,2.5081140995025635,2.1671714782714844,2.003113031387329,-0.3345297574996948,2.5014069080352783,2.215435028076172,2.1126880645751953,-0.24573290348052979
s03::cand04,s03,s03,ace_inpaint_candidate,4.0,candidate_index,1.6147878170013428,0.8771851658821106,1.345855712890625,0.09986922144889832,2.6908340454101562,2.3915796279907227,2.3099727630615234,-0.23123407363891602,2.513010025024414,2.245681047439575,2.0866267681121826,-0.292718768119812,2.51290225982666,2.2094101905822754,2.1848835945129395,-0.17627263069152832,2.5081140995025635,2.197133779525757,2.1194536685943604,-0.2331702709197998,2.5014069080352783,2.2568392753601074,2.188981533050537,-0.19014155864715576
s03::cand05,s03,s03,ace_inpaint_candidate,5.0,candidate_index,1.6147878170013428,1.3355560302734375,1.7626677751541138,0.28749585151672363,2.6908340454101562,2.4189999103546143,2.4790868759155273,-0.07583010196685791,2.513010025024414,2.280860424041748,2.350381374359131,-0.046553850173950195,2.51290225982666,2.179297685623169,2.311587333679199,-0.03451263904571533,2.5081140995025635,2.198198080062866,2.2128067016601562,-0.1403493881225586,2.5014069080352783,2.154639720916748,2.2165327072143555,-0.11149060726165771
s03::cand06,s03,s03,ace_inpaint_candidate,6.0,candidate_index,1.6147878170013428,0.044894177466630936,1.1016193628311157,0.27177836559712887,2.6908340454101562,2.368598461151123,2.344597101211548,-0.1851191520690918,2.513010025024414,2.3566112518310547,2.2143850326538086,-0.22042560577392578,2.51290225982666,2.357067108154297,2.3413310050964355,-0.09365367889404297,2.5081140995025635,2.1840481758117676,2.133578300476074,-0.2125028371810913,2.5014069080352783,2.280273914337158,2.3144614696502686,-0.07637894153594971
s03::cand07,s03,s03,ace_inpaint_candidate,7.0,candidate_index,1.6147878170013428,0.33297547698020935,1.4079467058181763,0.4340650588274002,2.6908340454101562,2.19716739654541,2.2134945392608643,-0.23050618171691895,2.513010025024414,2.13966965675354,2.0961503982543945,-0.23018944263458252,2.51290225982666,1.9729859828948975,2.1701762676239014,-0.07276785373687744,2.5081140995025635,2.032062292098999,2.033294677734375,-0.23679351806640625,2.5014069080352783,2.115373134613037,2.1777703762054443,-0.13061964511871338
s04::cand00,s04,s04,ace_inpaint_candidate,0.0,candidate_index,-0.13036933541297913,-0.5140126943588257,-0.13099271059036255,0.19119830429553986,2.4017627239227295,2.429447650909424,2.25400710105896,-0.1615980863571167,2.591792583465576,2.5058183670043945,2.404088020324707,-0.14471745491027832,2.3182201385498047,2.4428536891937256,2.247877597808838,-0.13265931606292725,2.5091545581817627,2.481260299682617,2.298757314682007,-0.1964501142501831,2.355404853820801,2.4220998287200928,2.314894914627075,-0.07385742664337158
s04::cand01,s04,s04,ace_inpaint_candidate,1.0,candidate_index,-0.13036933541297913,-0.8944376111030579,-0.4661031663417816,0.04630030691623688,2.4017627239227295,2.576486825942993,2.3834338188171387,-0.10569095611572266,2.591792583465576,2.6473355293273926,2.461742401123047,-0.1578216552734375,2.3182201385498047,2.5854134559631348,2.351285457611084,-0.10053133964538574,2.5091545581817627,2.5680041313171387,2.3317036628723145,-0.20687568187713623,2.355404853820801,2.6366705894470215,2.405095100402832,-0.0909426212310791
s04::cand02,s04,s04,ace_inpaint_candidate,2.0,candidate_index,-0.13036933541297913,-1.0496647357940674,-0.13862040638923645,0.4513966292142868,2.4017627239227295,2.429673194885254,2.2468388080596924,-0.16887915134429932,2.591792583465576,2.44966721534729,2.293215274810791,-0.2275146245956421,2.3182201385498047,2.2531394958496094,2.1887474060058594,-0.09693241119384766,2.5091545581817627,2.320774555206299,2.1431007385253906,-0.27186381816864014,2.355404853820801,2.367224931716919,2.223715305328369,-0.13759958744049072
s04::cand03,s04,s04,ace_inpaint_candidate,3.0,candidate_index,-0.13036933541297913,-0.673039972782135,0.3027135133743286,0.7044181674718857,2.4017627239227295,2.3832199573516846,2.270568370819092,-0.12192296981811523,2.591792583465576,2.4989726543426514,2.413297414779663,-0.13208520412445068,2.3182201385498047,2.433044195175171,2.350353956222534,-0.025278210639953613,2.5091545581817627,2.446556568145752,2.217759609222412,-0.2600959539413452,2.355404853820801,2.4599695205688477,2.338104248046875,-0.06958293914794922
s04::cand04,s04,s04,ace_inpaint_candidate,4.0,candidate_index,-0.13036933541297913,-0.4632106125354767,0.29302605986595154,0.5898160338401794,2.4017627239227295,2.3897104263305664,2.254241704940796,-0.14149487018585205,2.591792583465576,2.5601966381073,2.395977258682251,-0.180017352104187,2.3182201385498047,2.356846332550049,2.2805490493774414,-0.05698418617248535,2.5091545581817627,2.3966145515441895,2.193981647491455,-0.258902907371521,2.355404853820801,2.4033100605010986,2.2623348236083984,-0.11702263355255127
s04::cand05,s04,s04,ace_inpaint_candidate,5.0,candidate_index,-0.13036933541297913,-0.6610485911369324,0.4629492461681366,0.8586582094430923,2.4017627239227295,2.363287925720215,2.3098487854003906,-0.07267653942108154,2.591792583465576,2.458454132080078,2.4098122119903564,-0.1153111457824707,2.3182201385498047,2.2572147846221924,2.2709362506866455,-0.016781210899353027,2.5091545581817627,2.367602825164795,2.27854323387146,-0.15983545780181885,2.355404853820801,2.330962657928467,2.2587335109710693,-0.08445024490356445
s04::cand06,s04,s04,ace_inpaint_candidate,6.0,candidate_index,-0.13036933541297913,-0.45843756198883057,-0.05024515837430954,0.2441582903265953,2.4017627239227295,2.381776809692383,2.231459617614746,-0.16031014919281006,2.591792583465576,2.732332944869995,2.5235865116119385,-0.13847625255584717,2.3182201385498047,2.601635217666626,2.422390937805176,-0.03753674030303955,2.5091545581817627,2.573627471923828,2.338524103164673,-0.20286691188812256,2.355404853820801,2.5285143852233887,2.3617844581604004,-0.08017516136169434
s04::cand07,s04,s04,ace_inpaint_candidate,7.0,candidate_index,-0.13036933541297913,-0.6556059718132019,-0.20172065496444702,0.1912669986486435,2.4017627239227295,2.4897220134735107,2.3509809970855713,-0.09476137161254883,2.591792583465576,2.6849966049194336,2.5554914474487305,-0.08290314674377441,2.3182201385498047,2.538862705230713,2.4325380325317383,0.003996610641479492,2.5091545581817627,2.66747784614563,2.4224934577941895,-0.16582274436950684,2.355404853820801,2.5495734214782715,2.4540152549743652,0.0015261173248291016
s05::cand00,s05,s05,ace_inpaint_candidate,0.0,candidate_index,0.1922096312046051,-0.38917049765586853,0.2993108630180359,0.3977912962436676,3.0548288822174072,2.701288938522339,2.641831159591675,-0.23622775077819824,2.920875072479248,2.7622976303100586,2.5910186767578125,-0.2505676746368408,2.9779672622680664,2.520644426345825,2.524695634841919,-0.22461020946502686,2.7452189922332764,2.436788558959961,2.300952672958374,-0.29005110263824463,2.7166852951049805,2.5431768894195557,2.446399450302124,-0.18353164196014404
s05::cand01,s05,s05,ace_inpaint_candidate,1.0,candidate_index,0.1922096312046051,-0.7976835370063782,-0.49705931544303894,-0.1943223625421524,3.0548288822174072,3.079843282699585,2.8021111488342285,-0.2652249336242676,2.920875072479248,3.2347140312194824,2.8187177181243896,-0.2590768337249756,2.9779672622680664,3.0257511138916016,2.7639966011047363,-0.23786258697509766,2.7452189922332764,2.7583508491516113,2.436051845550537,-0.31573307514190674,2.7166852951049805,2.82401180267334,2.539719820022583,-0.23062872886657715
s05::cand02,s05,s05,ace_inpaint_candidate,2.0,candidate_index,0.1922096312046051,-0.04659891128540039,0.5268606543540955,0.4540552943944931,3.0548288822174072,2.998302698135376,2.8081283569335938,-0.21843743324279785,2.920875072479248,2.9883720874786377,2.7227680683135986,-0.23185551166534424,2.9779672622680664,2.9112417697906494,2.716970205307007,-0.22763431072235107,2.7452189922332764,2.794912099838257,2.513164520263672,-0.2569010257720947,2.7166852951049805,2.7982378005981445,2.613635778427124,-0.14382576942443848
s05::cand03,s05,s05,ace_inpaint_candidate,3.0,candidate_index,0.1922096312046051,0.3207123577594757,0.3855336606502533,0.1290726661682129,3.0548288822174072,2.9535298347473145,2.8312466144561768,-0.17293274402618408,2.920875072479248,3.0839481353759766,2.803913116455078,-0.19849848747253418,2.9779672622680664,2.836925506591797,2.763699531555176,-0.14374685287475586,2.7452189922332764,2.828091859817505,2.5598526000976562,-0.22680282592773438,2.7166852951049805,2.771332025527954,2.5866634845733643,-0.15734517574310303
s05::cand04,s05,s05,ace_inpaint_candidate,4.0,candidate_index,0.1922096312046051,0.5634065270423889,0.1802005171775818,-0.19760756194591522,3.0548288822174072,2.9288198947906494,2.8488755226135254,-0.14294886589050293,2.920875072479248,2.8020944595336914,2.748622179031372,-0.11286258697509766,2.9779672622680664,2.8410260677337646,2.8613123893737793,-0.04818427562713623,2.7452189922332764,2.6148173809051514,2.525102138519287,-0.15491604804992676,2.7166852951049805,2.5259642601013184,2.4929752349853516,-0.12834954261779785
s05::cand05,s05,s05,ace_inpaint_candidate,5.0,candidate_index,0.1922096312046051,0.24254059791564941,0.022593341767787933,-0.19478177279233932,3.0548288822174072,3.088484048843384,2.8611044883728027,-0.21055197715759277,2.920875072479248,2.91090726852417,2.7223479747772217,-0.1935431957244873,2.9779672622680664,2.7992162704467773,2.719348192214966,-0.16924357414245605,2.7452189922332764,2.8641607761383057,2.608445405960083,-0.196244478225708,2.7166852951049805,2.7793731689453125,2.6043448448181152,-0.14368438720703125
s05::cand06,s05,s05,ace_inpaint_candidate,6.0,candidate_index,0.1922096312046051,0.06530292332172394,-0.5351168513298035,-0.663873128592968,3.0548288822174072,2.8458571434020996,2.7246437072753906,-0.2256993055343628,2.920875072479248,2.8068976402282715,2.6047580242156982,-0.2591283321380615,2.9779672622680664,2.767458438873291,2.650487184524536,-0.22222566604614258,2.7452189922332764,2.470024585723877,2.3150081634521484,-0.2926136255264282,2.7166852951049805,2.54152512550354,2.43913197517395,-0.18997323513031006
s05::cand07,s05,s05,ace_inpaint_candidate,7.0,candidate_index,0.1922096312046051,-0.626821756362915,-0.6574640870094299,-0.44015802443027496,3.0548288822174072,3.1651179790496826,2.8842270374298096,-0.22574639320373535,2.920875072479248,3.227745294570923,2.8176589012145996,-0.25665128231048584,2.9779672622680664,3.035468816757202,2.7937276363372803,-0.212990403175354,2.7452189922332764,3.058556079864502,2.592799186706543,-0.3090883493423462,2.7166852951049805,3.0210607051849365,2.5901572704315186,-0.27871572971343994
s06::cand00,s06,s06,ace_inpaint_candidate,0.0,candidate_index,1.1343319416046143,-1.105736494064331,-1.0821707248687744,-1.096468448638916,2.865123748779297,2.7323403358459473,2.4594123363494873,-0.33931970596313477,2.8212766647338867,2.8298237323760986,2.3880090713500977,-0.437541127204895,2.627708673477173,2.6880342960357666,2.3414671421051025,-0.3164043426513672,2.734811305999756,2.7419369220733643,2.310861587524414,-0.427512526512146,2.682298421859741,2.829913377761841,2.372816324234009,-0.3832895755767822
s06::cand01,s06,s06,ace_inpaint_candidate,1.0,candidate_index,1.1343319416046143,-0.8518947958946228,-0.014944233000278473,-0.1561628058552742,2.865123748779297,2.7017335891723633,2.485901355743408,-0.2975273132324219,2.8212766647338867,2.6685733795166016,2.442986249923706,-0.3019387722015381,2.627708673477173,2.6260600090026855,2.259066104888916,-0.3678182363510132,2.734811305999756,2.495898485183716,2.1877779960632324,-0.4275768995285034,2.682298421859741,2.5334057807922363,2.2317087650299072,-0.37614333629608154
s06::cand02,s06,s06,ace_inpaint_candidate,2.0,candidate_index,1.1343319416046143,0.5634074807167053,-0.861908495426178,-1.7107782065868378,2.865123748779297,2.7836592197418213,2.4929888248443604,-0.33140265941619873,2.8212766647338867,2.5483548641204834,2.339353322982788,-0.345462441444397,2.627708673477173,2.497347354888916,2.2829225063323975,-0.279605507850647,2.734811305999756,2.4895167350769043,2.227433681488037,-0.38473033905029297,2.682298421859741,2.4321351051330566,2.230044364929199,-0.3271723985671997
s06::cand03,s06,s06,ace_inpaint_candidate,3.0,candidate_index,1.1343319416046143,0.3375531733036041,1.3305021524429321,0.5945595949888229,2.865123748779297,2.648707389831543,2.3594236373901367,-0.3974919319152832,2.8212766647338867,2.641130208969116,2.3174448013305664,-0.41375863552093506,2.627708673477173,2.592123508453369,2.3303401470184326,-0.2795759439468384,2.734811305999756,2.5128276348114014,2.163128137588501,-0.46069133281707764,2.682298421859741,2.6388580799102783,2.24421763420105,-0.41636061668395996
s06::cand04,s06,s06,ace_inpaint_candidate,4.0,candidate_index,1.1343319416046143,-0.27845656871795654,-0.5833969712257385,-1.0113346576690674,2.865123748779297,2.555521011352539,2.381655693054199,-0.32866668701171875,2.8212766647338867,2.511066436767578,2.231499195098877,-0.43467235565185547,2.627708673477173,2.5710289478302,2.2588438987731934,-0.34052491188049316,2.734811305999756,2.457468271255493,2.187009572982788,-0.4091302156448364,2.682298421859741,2.58199405670166,2.2362489700317383,-0.3958972692489624
s06::cand05,s06,s06,ace_inpaint_candidate,5.0,candidate_index,1.1343319416046143,-0.836726188659668,-0.23775282502174377,-0.3865557014942169,2.865123748779297,2.8157057762145996,2.5074076652526855,-0.3330070972442627,2.8212766647338867,2.748971462249756,2.4173407554626465,-0.3677833080291748,2.627708673477173,2.598374366760254,2.1943540573120117,-0.41868746280670166,2.734811305999756,2.6516857147216797,2.2132043838500977,-0.4800441265106201,2.682298421859741,2.6412830352783203,2.270784378051758,-0.39100635051727295
s06::cand06,s06,s06,ace_inpaint_candidate,6.0,candidate_index,1.1343319416046143,-0.839599609375,-0.8295156359672546,-0.9768818020820618,2.865123748779297,2.6604440212249756,2.435131788253784,-0.32765209674835205,2.8212766647338867,2.7429397106170654,2.339932918548584,-0.4421752691268921,2.627708673477173,2.602008581161499,2.287872552871704,-0.32698607444763184,2.734811305999756,2.506272792816162,2.136354923248291,-0.48418712615966797,2.682298421859741,2.5768795013427734,2.156534433364868,-0.47305452823638916
s06::cand07,s06,s06,ace_inpaint_candidate,7.0,candidate_index,1.1343319416046143,-0.7476009726524353,-0.917632520198822,-1.1109980046749115,2.865123748779297,2.757580041885376,2.4610815048217773,-0.3502703905105591,2.8212766647338867,2.7768449783325195,2.376458168029785,-0.42260265350341797,2.627708673477173,2.6919121742248535,2.4170291423797607,-0.24278128147125244,2.734811305999756,2.69846510887146,2.2963693141937256,-0.4202688932418823,2.682298421859741,2.8195834159851074,2.451176404953003,-0.2997645139694214
s07::cand00,s07,s07,ace_inpaint_candidate,0.0,candidate_index,1.3952090740203857,1.3978632688522339,1.3774821758270264,-0.019053995609283447,2.6822688579559326,2.968968391418457,2.8826889991760254,0.057070374488830566,2.891690492630005,3.016528606414795,2.90496826171875,-0.0491412878036499,2.704439878463745,2.8969411849975586,2.8263866901397705,0.025696158409118652,2.597174882888794,2.7064661979675293,2.6501519680023193,-0.0016685724258422852,2.589332342147827,2.8285560607910156,2.639986276626587,-0.06895792484283447
s07::cand01,s07,s07,ace_inpaint_candidate,1.0,candidate_index,1.3952090740203857,1.130712628364563,1.2372934818267822,-0.02566736936569214,2.6822688579559326,2.933366060256958,2.834681510925293,0.026864051818847656,2.891690492630005,3.1364905834198,2.9103403091430664,-0.10375022888183594,2.704439878463745,2.983511209487915,2.830289602279663,-0.013685941696166992,2.597174882888794,2.8467955589294434,2.6077322959899902,-0.11425292491912842,2.589332342147827,2.8043129444122314,2.609178066253662,-0.08764457702636719
