pair_id,source_id,genre,perturbation,magnitude,magnitude_unit,tunejury_a,tunejury_b,tunejury_cat,tunejury_rel,songeval_coherence_a,songeval_coherence_b,songeval_coherence_cat,songeval_coherence_rel,songeval_musicality_a,songeval_musicality_b,songeval_musicality_cat,songeval_musicality_rel,songeval_memorability_a,songeval_memorability_b,songeval_memorability_cat,songeval_memorability_rel,songeval_clarity_a,songeval_clarity_b,songeval_clarity_cat,songeval_clarity_rel,songeval_naturalness_a,songeval_naturalness_b,songeval_naturalness_cat,songeval_naturalness_rel
classical_01::control::ctrl,classical_01,classical,control,0.0,none,0.6413964629173279,0.6413964629173279,0.12993431091308594,-0.5114621520042419,2.9592185020446777,2.9592185020446777,2.9575750827789307,-0.0016434192657470703,2.9971537590026855,2.9971537590026855,2.9056055545806885,-0.09154820442199707,2.760831832885742,2.760831832885742,2.8797924518585205,0.11896061897277832,2.9360427856445312,2.9360427856445312,2.8575048446655273,-0.0785379409790039,3.0459847450256348,3.0459847450256348,2.9149627685546875,-0.13102197647094727
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,semitones,0.6413964629173279,-0.554290771484375,-0.592270016670227,-0.6358228623867035,2.9592185020446777,2.5307869911193848,2.4625258445739746,-0.28247690200805664,2.9971537590026855,2.4377310276031494,2.2070746421813965,-0.510367751121521,2.760831832885742,2.410585641860962,2.274678945541382,-0.3110297918319702,2.9360427856445312,2.2946410179138184,2.238861560821533,-0.3764803409576416,3.0459847450256348,2.352799892425537,2.182769298553467,-0.5166230201721191
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,semitones,0.6413964629173279,-0.4527234435081482,-0.12765470147132874,-0.22199121117591858,2.9592185020446777,2.744213104248047,2.7163162231445312,-0.13539958000183105,2.9971537590026855,2.4158363342285156,2.3610999584198,-0.3453950881958008,2.760831832885742,2.574464797973633,2.5427727699279785,-0.12487554550170898,2.9360427856445312,2.562845468521118,2.5524511337280273,-0.19699299335479736,3.0459847450256348,2.5886337757110596,2.544884443283081,-0.2724248170852661
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,semitones,0.6413964629173279,-0.4465368688106537,-0.549100935459137,-0.6465307325124741,2.9592185020446777,2.688585042953491,2.5734050273895264,-0.2504967451095581,2.9971537590026855,2.7202963829040527,2.496004104614258,-0.36272096633911133,2.760831832885742,2.5709033012390137,2.437081813812256,-0.22878575325012207,2.9360427856445312,2.5862278938293457,2.4756932258605957,-0.2854421138763428,3.0459847450256348,2.6522738933563232,2.4601681232452393,-0.38896119594573975
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,semitones,0.6413964629173279,0.21565639972686768,-0.40886184573173523,-0.837388277053833,2.9592185020446777,2.76749849319458,2.7088913917541504,-0.15446710586547852,2.9971537590026855,2.5692832469940186,2.4196054935455322,-0.3636130094528198,2.760831832885742,2.641648292541504,2.540015697479248,-0.161224365234375,2.9360427856445312,2.631265640258789,2.489192485809326,-0.294461727142334,3.0459847450256348,2.66633939743042,2.557976484298706,-0.2981855869293213
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,semitones,0.6413964629173279,-0.43940967321395874,-0.6426244378089905,-0.743617832660675,2.9592185020446777,2.8748581409454346,2.799084424972534,-0.11795389652252197,2.9971537590026855,2.826416015625,2.6558477878570557,-0.2559370994567871,2.760831832885742,2.7971925735473633,2.7587172985076904,-0.020294904708862305,2.9360427856445312,2.8372883796691895,2.6802215576171875,-0.20644402503967285,3.0459847450256348,2.7191720008850098,2.6602773666381836,-0.22230100631713867
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,semitones,0.6413964629173279,-0.5949322581291199,-0.6548196077346802,-0.6780517101287842,2.9592185020446777,2.99906587600708,2.6704533100128174,-0.3086888790130615,2.9971537590026855,2.8618552684783936,2.479416608810425,-0.45008790493011475,2.760831832885742,2.712822914123535,2.544621467590332,-0.19220590591430664,2.9360427856445312,2.857499361038208,2.5512895584106445,-0.3454815149307251,3.0459847450256348,2.6973025798797607,2.5185253620147705,-0.35311830043792725
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,percent_tempo,0.6413964629173279,0.38669851422309875,-0.15371865034103394,-0.6677661389112473,2.9592185020446777,2.748098373413086,2.6212196350097656,-0.2324388027191162,2.9971537590026855,2.6270010471343994,2.5555949211120605,-0.25648248195648193,2.760831832885742,2.488638162612915,2.4286153316497803,-0.19611966609954834,2.9360427856445312,2.5585129261016846,2.492959499359131,-0.25431835651397705,3.0459847450256348,2.4730706214904785,2.544853687286377,-0.2146739959716797
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,percent_tempo,0.6413964629173279,0.20836088061332703,-0.14321640133857727,-0.5680950731039047,2.9592185020446777,2.7360246181488037,2.778883218765259,-0.06873834133148193,2.9971537590026855,2.667897939682007,2.729637384414673,-0.10288846492767334,2.760831832885742,2.577772855758667,2.6408491134643555,-0.02845323085784912,2.9360427856445312,2.6978836059570312,2.672853708267212,-0.14410948753356934,3.0459847450256348,2.6632239818573,2.7393593788146973,-0.11524498462677002
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,percent_tempo,0.6413964629173279,0.43313202261924744,0.17044329643249512,-0.36682094633579254,2.9592185020446777,2.869844675064087,2.922091245651245,0.007559657096862793,2.9971537590026855,2.810840129852295,2.820984363555908,-0.08301258087158203,2.760831832885742,2.5386757850646973,2.756316661834717,0.10656285285949707,2.9360427856445312,2.719597339630127,2.7423222064971924,-0.08549785614013672,3.0459847450256348,2.8238205909729004,2.871311664581299,-0.06359100341796875
