pair_id,source_id,genre,perturbation,magnitude,magnitude_unit,audiobox_ce_a,audiobox_ce_b,audiobox_ce_cat,audiobox_ce_rel,audiobox_cu_a,audiobox_cu_b,audiobox_cu_cat,audiobox_cu_rel,audiobox_pc_a,audiobox_pc_b,audiobox_pc_cat,audiobox_pc_rel,audiobox_pq_a,audiobox_pq_b,audiobox_pq_cat,audiobox_pq_rel
classical_01::control::ctrl,classical_01,classical,control,0.0,none,6.838204383850098,6.838204383850098,6.8279523849487305,-0.010251998901367188,7.392916679382324,7.392916679382324,7.476964473724365,0.08404779434204102,5.436895370483398,5.436895370483398,5.5053300857543945,0.0684347152709961,7.271548271179199,7.271548271179199,7.311564922332764,0.04001665115356445
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,semitones,6.838204383850098,7.142222881317139,7.075313568115234,0.08509993553161621,7.392916679382324,7.545650482177734,7.549360752105713,0.0800771713256836,5.436895370483398,5.4556474685668945,5.56628942489624,0.12001800537109375,7.271548271179199,7.237612724304199,7.297994613647461,0.04341411590576172
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,semitones,6.838204383850098,7.328223705291748,7.141637802124023,0.058423757553100586,7.392916679382324,7.702859401702881,7.576022148132324,0.02813410758972168,5.436895370483398,5.669030666351318,5.648867607116699,0.09590458869934082,7.271548271179199,7.549169540405273,7.430793285369873,0.02043437957763672
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,semitones,6.838204383850098,6.975833892822266,6.981059551239014,0.07404041290283203,7.392916679382324,7.457713603973389,7.467360496520996,0.04204535484313965,5.436895370483398,5.553506374359131,5.555670738220215,0.060469865798950195,7.271548271179199,7.481932640075684,7.3931884765625,0.016448020935058594
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,semitones,6.838204383850098,7.294228553771973,7.110594272613525,0.044377803802490234,7.392916679382324,7.852305889129639,7.749587535858154,0.12697625160217285,5.436895370483398,5.655977249145508,5.65142297744751,0.10498666763305664,7.271548271179199,7.872243881225586,7.6538004875183105,0.08190441131591797
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,semitones,6.838204383850098,7.370303153991699,7.207126617431641,0.10287284851074219,7.392916679382324,7.902946472167969,7.783907413482666,0.13597583770751953,5.436895370483398,5.5906243324279785,5.608372211456299,0.09461236000061035,7.271548271179199,7.827944755554199,7.683475017547607,0.1337285041809082
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,semitones,6.838204383850098,7.3596296310424805,7.151939868927002,0.05302286148071289,7.392916679382324,7.573757171630859,7.570981025695801,0.08764410018920898,5.436895370483398,5.669539451599121,5.564181327819824,0.010963916778564453,7.271548271179199,7.453227519989014,7.454718112945557,0.0923302173614502
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,percent_tempo,6.838204383850098,6.848830699920654,6.8738484382629395,0.030330896377563477,7.392916679382324,7.518553256988525,7.537851333618164,0.08211636543273926,5.436895370483398,4.885979652404785,5.216543197631836,0.05510568618774414,7.271548271179199,7.333648681640625,7.298979759216309,-0.0036187171936035156
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,percent_tempo,6.838204383850098,7.003167152404785,6.95305871963501,0.03237295150756836,7.392916679382324,7.660179138183594,7.625116348266602,0.09856843948364258,5.436895370483398,5.256832122802734,5.383788585662842,0.03692483901977539,7.271548271179199,7.583584785461426,7.490664005279541,0.06309747695922852
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,percent_tempo,6.838204383850098,7.0894317626953125,6.989590167999268,0.0257720947265625,7.392916679382324,7.844862461090088,7.708282470703125,0.08939290046691895,5.436895370483398,5.347282409667969,5.43966817855835,0.047579288482666016,7.271548271179199,7.8978166580200195,7.624281406402588,0.039598941802978516
